generador,config,mmd,wasserstein_mean,frobenius_corr,frac_valida,std_ratio_mean,segundos
gan,clase,0.5246797927226108,0.9431007271913858,1.8859334517048365,1.0,0.5037247386340011,133.6
gan,hpbest,0.009630721943905018,0.13999580466895747,0.35426773053105143,1.0,0.7220267295199366,620.6
gaussian,clase,0.038105487164161955,0.21195556906042237,0.09712711387916345,1.0,0.9230591579224015,0.1
gaussian,hpbest,0.004253198291299776,0.019713096492068195,0.2924108507239065,1.0,0.9291240841340077,0.1
noise,clase,0.0,0.022642685394617057,0.12727702623078535,1.0,0.9304888484541932,0.0
noise,hpbest,0.0,0.01899087493779552,0.11481616540714772,1.0,0.9198850962408349,0.0
rbig,clase,8.573984382698185e-06,0.03719895867655575,0.19550580869077042,1.0,0.827284033684881,2.0
rbig,hpbest,0.0005493226450526967,0.02304724157461037,0.11684721181588888,1.0,0.8582075553835802,10.4
