generator,synth_years,ticker,mae,mse,directional_accuracy
rbig,1.0,BAC,0.004958133213222,3.834403833025135e-05,0.5213675213675214
rbig,1.0,WFC,0.0058964523486793,5.3452902648132294e-05,0.4957264957264957
rbig,1.0,JPM,0.0040178424678742,2.727828177739866e-05,0.5470085470085471
rbig,1.0,C,0.0053701628930866,4.590258686221205e-05,0.5726495726495726
rbig,1.0,HBAN,0.0055146226659417,4.603738852893002e-05,0.4957264957264957
rbig,1.0,USB,0.0046599139459431,3.2827108952915296e-05,0.5811965811965812
rbig,1.0,TFC,0.0052899727597832,4.3210588046349585e-05,0.5470085470085471
rbig,1.0,KEY,0.0048771542496979,3.789057154790498e-05,0.6068376068376068
rbig,1.0,RF,0.005027615930885,4.000488479505293e-05,0.5299145299145299
rbig,1.0,FITB,0.0057575148530304,5.237939694779925e-05,0.5726495726495726
rbig,1.0,VLY,0.0049340091645717,3.7399939174065366e-05,0.376068376068376
rbig,1.0,FHN,0.0044571766629815,3.031004780496005e-05,0.6068376068376068
rbig,1.0,PNC,0.0048766070976853,3.522517727105878e-05,0.5897435897435898
rbig,1.0,WAFD,0.0034396010451018,2.043140193563886e-05,0.4017094017094017
rbig,1.0,FNB,0.0040738214738667,2.659929486981127e-05,0.5213675213675214
rbig,1.0,FULT,0.0049130483530461,3.7484838685486466e-05,0.4358974358974359
rbig,1.0,ASB,0.004321071319282,2.9586386517621577e-05,0.5641025641025641
rbig,1.0,WBS,0.0033063024748116,2.5129906134679914e-05,0.6153846153846154
rbig,1.0,MTB,0.0047736871056258,3.489106529741548e-05,0.5641025641025641
rbig,1.0,ZION,0.0052145128138363,4.078489291714504e-05,0.5726495726495726
rbig,1.0,BOH,0.0042371936142444,2.48980777541874e-05,0.3333333333333333
rbig,1.0,UBSI,0.0045424164272844,3.003246456501074e-05,0.5555555555555556
rbig,1.0,CVBF,0.0042136940173804,2.648517875059042e-05,0.4700854700854701
rbig,1.0,CBSH,0.0033469314221292,1.750350020301994e-05,0.5726495726495726
rbig,1.0,GBCI,0.0055776922963559,4.489254570216872e-05,0.6324786324786325
gan,1.0,BAC,0.0049628484994173,3.851269866572693e-05,0.5213675213675214
gan,1.0,WFC,0.0058962358161807,5.343899829313159e-05,0.4957264957264957
gan,1.0,JPM,0.0040145753882825,2.7233874789089896e-05,0.5470085470085471
gan,1.0,C,0.0053717731498181,4.5924778532935306e-05,0.5726495726495726
gan,1.0,HBAN,0.0054994551464915,4.5766391849610955e-05,0.4957264957264957
gan,1.0,USB,0.0046519679017364,3.270661545684561e-05,0.5811965811965812
gan,1.0,TFC,0.0052961623296141,4.321844971855171e-05,0.5470085470085471
gan,1.0,KEY,0.0048697586171329,3.7853467802051455e-05,0.6068376068376068
gan,1.0,RF,0.0050274082459509,4.000310946139507e-05,0.5299145299145299
gan,1.0,FITB,0.0057892431505024,5.25748218933586e-05,0.5726495726495726
gan,1.0,VLY,0.0049306256696581,3.73541988665238e-05,0.376068376068376
gan,1.0,FHN,0.0044869286939501,3.0302022423711605e-05,0.6068376068376068
gan,1.0,PNC,0.0048743039369583,3.5210912756156176e-05,0.5897435897435898
gan,1.0,WAFD,0.0034410818479955,2.044384746113792e-05,0.4017094017094017
gan,1.0,FNB,0.0040737860836088,2.6600002456689253e-05,0.5213675213675214
gan,1.0,FULT,0.0049213743768632,3.766108420677483e-05,0.4358974358974359
gan,1.0,ASB,0.0043221646919846,2.9595645173685625e-05,0.5641025641025641
gan,1.0,WBS,0.0033111663069576,2.5246114091714844e-05,0.6153846153846154
gan,1.0,MTB,0.004777509253472,3.4915927244583145e-05,0.5641025641025641
gan,1.0,ZION,0.0052218795754015,4.0877283026929945e-05,0.5726495726495726
gan,1.0,BOH,0.0042313928715884,2.484725700924173e-05,0.3333333333333333
gan,1.0,UBSI,0.0045450977049767,3.0094210160314105e-05,0.5555555555555556
gan,1.0,CVBF,0.0042104558087885,2.643313018779736e-05,0.4700854700854701
gan,1.0,CBSH,0.0033398959785699,1.7564201698405668e-05,0.5726495726495726
gan,1.0,GBCI,0.0055764839053153,4.488396007218398e-05,0.6324786324786325
noise,2.0,BAC,0.0049543250352144,3.8213289371924475e-05,0.5213675213675214
noise,2.0,WFC,0.0058927703648805,5.322082506609149e-05,0.4957264957264957
noise,2.0,JPM,0.0039714658632874,2.664392741280608e-05,0.5470085470085471
noise,2.0,C,0.0053808470256626,4.606614311342128e-05,0.5726495726495726
noise,2.0,HBAN,0.0055234935134649,4.619423270924017e-05,0.4957264957264957
noise,2.0,USB,0.0046436036936938,3.254780313000083e-05,0.5811965811965812
noise,2.0,TFC,0.0052764695137739,4.325036934460513e-05,0.5470085470085471
noise,2.0,KEY,0.0048802066594362,3.7906105717411265e-05,0.6068376068376068
noise,2.0,RF,0.0050212247297167,3.99415148422122e-05,0.5299145299145299
noise,2.0,FITB,0.0057902825064957,5.2582938224077225e-05,0.5726495726495726
noise,2.0,VLY,0.0049432604573667,3.752687916858122e-05,0.376068376068376
noise,2.0,FHN,0.0044705970212817,3.0295024771476164e-05,0.6068376068376068
noise,2.0,PNC,0.0048312372528016,3.4995133319171146e-05,0.5897435897435898
noise,2.0,WAFD,0.003377494867891,1.984190748771653e-05,0.5897435897435898
noise,2.0,FNB,0.0040737898088991,2.6599922421155497e-05,0.5213675213675214
noise,2.0,FULT,0.0049077370204031,3.737434599315747e-05,0.5641025641025641
noise,2.0,ASB,0.0043197120539844,2.957253309432417e-05,0.5641025641025641
noise,2.0,WBS,0.0033274702727794,2.56059538514819e-05,0.6153846153846154
noise,2.0,MTB,0.0047775418497622,3.49161600752268e-05,0.5641025641025641
noise,2.0,ZION,0.0052139447070658,4.0777973481453955e-05,0.5726495726495726
noise,2.0,BOH,0.0041938903741538,2.452161606925074e-05,0.3333333333333333
noise,2.0,UBSI,0.0045263129286468,2.9686114430660385e-05,0.5555555555555556
noise,2.0,CVBF,0.0042194351553916,2.657590084709227e-05,0.4700854700854701
noise,2.0,CBSH,0.0033329254947602,1.766474815667607e-05,0.5726495726495726
noise,2.0,GBCI,0.0055409409105777,4.4650423660641536e-05,0.6324786324786325
gaussian,2.0,BAC,0.004950251430273,3.807886969298124e-05,0.5213675213675214
gaussian,2.0,WFC,0.005902674049139,5.381483424571343e-05,0.4957264957264957
gaussian,2.0,JPM,0.0039988197386264,2.701864650589414e-05,0.5470085470085471
gaussian,2.0,C,0.0053857811726629,4.613857890944928e-05,0.5726495726495726
gaussian,2.0,HBAN,0.0055193183943629,4.612218617694453e-05,0.4957264957264957
gaussian,2.0,USB,0.0046434518881142,3.254520925111137e-05,0.5811965811965812
gaussian,2.0,TFC,0.0052755484357476,4.325781264924444e-05,0.5470085470085471
gaussian,2.0,KEY,0.0048838388174772,3.792550342041068e-05,0.6068376068376068
gaussian,2.0,RF,0.0050216731615364,3.99451564589981e-05,0.5299145299145299
gaussian,2.0,FITB,0.0057907490991055,5.258663077256642e-05,0.5726495726495726
gaussian,2.0,VLY,0.0049363328143954,3.7431564123835415e-05,0.376068376068376
gaussian,2.0,FHN,0.00446985848248,3.029530489584431e-05,0.6068376068376068
gaussian,2.0,PNC,0.0048335967585444,3.500491948216222e-05,0.5897435897435898
gaussian,2.0,WAFD,0.0033872541971504,1.9941873688367195e-05,0.5897435897435898
gaussian,2.0,FNB,0.0040737795643508,2.6600131604936905e-05,0.5213675213675214
gaussian,2.0,FULT,0.0049063544720411,3.734615165740251e-05,0.5641025641025641
gaussian,2.0,ASB,0.0043185362592339,2.9561391784227453e-05,0.5641025641025641
gaussian,2.0,WBS,0.0033310533035546,2.5669556634966284e-05,0.6153846153846154
