generator,synth_years,ticker,mae,mse,directional_accuracy
rbig,2.0,BAC,0.0110312094911932,0.0002056869707303,0.5573770491803278
rbig,2.0,WFC,0.0137441819533705,0.0003123272908851,0.4590163934426229
rbig,2.0,JPM,0.0116032045334577,0.0002370351285208,0.5081967213114754
rbig,2.0,C,0.0149937979876995,0.0004085557884536,0.4426229508196721
rbig,2.0,HBAN,0.0133358687162399,0.0003066117642447,0.5
rbig,2.0,USB,0.0108320424333214,0.0002054361393675,0.4590163934426229
rbig,2.0,TFC,0.0114928064867854,0.0002196046698372,0.5491803278688525
rbig,2.0,KEY,0.0117532880976796,0.0002284497459186,0.4754098360655737
rbig,2.0,RF,0.0120397983118891,0.000244934199145,0.5819672131147541
rbig,2.0,FITB,0.0130119500681757,0.0003062502364628,0.5081967213114754
rbig,2.0,VLY,0.012469882145524,0.0002762782678473,0.4508196721311475
rbig,2.0,FHN,0.0113215111196041,0.0002333947923034,0.4672131147540984
rbig,2.0,PNC,0.0107740676030516,0.0002042661071754,0.5081967213114754
rbig,2.0,WAFD,0.0103412130847573,0.0002406626299489,0.4590163934426229
rbig,2.0,FNB,0.0113243190571665,0.0002391352754784,0.4672131147540984
rbig,2.0,FULT,0.0126691665500402,0.0002794777392409,0.4426229508196721
rbig,2.0,ASB,0.0122176920995116,0.0002544019953347,0.4590163934426229
rbig,2.0,WBS,0.0095120500773191,0.0001978786021936,0.4836065573770491
rbig,2.0,MTB,0.0108074527233839,0.000189734113519,0.5327868852459017
rbig,2.0,ZION,0.0125260464847087,0.0002848198346327,0.5737704918032787
rbig,2.0,BOH,0.0117095988243818,0.0002381711819907,0.5245901639344263
rbig,2.0,UBSI,0.0100779123604297,0.0001965043484233,0.4754098360655737
rbig,2.0,CVBF,0.0119313430041074,0.0002398636279394,0.4754098360655737
rbig,2.0,CBSH,0.0098892664536833,0.0001889707345981,0.4590163934426229
rbig,2.0,GBCI,0.013574699871242,0.0003212550946045,0.4426229508196721
gan,2.0,BAC,0.0110328793525695,0.0002056776866083,0.5573770491803278
gan,2.0,WFC,0.0137508492916822,0.0003121975169051,0.4590163934426229
gan,2.0,JPM,0.0116032045334577,0.0002370351576246,0.5081967213114754
gan,2.0,C,0.0149927614256739,0.0004085257533006,0.4426229508196721
gan,2.0,HBAN,0.0133366156369447,0.0003066071658395,0.4836065573770491
gan,2.0,USB,0.0108329113572835,0.0002054581709671,0.4590163934426229
gan,2.0,TFC,0.0114904083311557,0.0002196044952142,0.5491803278688525
gan,2.0,KEY,0.0117529900744557,0.0002284336078446,0.4754098360655737
gan,2.0,RF,0.0120395245030522,0.0002449317835271,0.5819672131147541
gan,2.0,FITB,0.0130107877776026,0.0003061711613554,0.5081967213114754
gan,2.0,VLY,0.0124741569161415,0.0002764083619695,0.4508196721311475
gan,2.0,FHN,0.0113186445087194,0.0002333305310457,0.4672131147540984
gan,2.0,PNC,0.0107740741223096,0.000204267213121,0.5081967213114754
gan,2.0,WAFD,0.0103462897241115,0.0002407999709248,0.4590163934426229
gan,2.0,FNB,0.0113222543150186,0.0002391067246207,0.4672131147540984
gan,2.0,FULT,0.012671859934926,0.0002795605105347,0.4426229508196721
gan,2.0,ASB,0.0121895866468548,0.000253886450082,0.4590163934426229
gan,2.0,WBS,0.0095122326165437,0.000197894507437,0.4836065573770491
gan,2.0,MTB,0.010807785205543,0.0001897427719086,0.5327868852459017
gan,2.0,ZION,0.0125267310068011,0.0002848269650712,0.5737704918032787
gan,2.0,BOH,0.0117116505280137,0.0002380502701271,0.5245901639344263
gan,2.0,UBSI,0.0100819449871778,0.0001966013951459,0.4754098360655737
gan,2.0,CVBF,0.0119276978075504,0.0002397398347966,0.4754098360655737
gan,2.0,CBSH,0.0098865814507007,0.0001889824779937,0.4590163934426229
gan,2.0,GBCI,0.013577071018517,0.0003213098971173,0.4426229508196721
rbig,10.0,BAC,0.0109956609085202,0.0002060585393337,0.5573770491803278
rbig,10.0,WFC,0.0137152234092354,0.0003140046901535,0.5409836065573771
rbig,10.0,JPM,0.0116178663447499,0.000238245978835,0.5081967213114754
rbig,10.0,C,0.0149275092408061,0.0004068756243214,0.5573770491803278
rbig,10.0,HBAN,0.0133475884795188,0.0003075911372434,0.5
rbig,10.0,USB,0.0107588693499565,0.0002039504033746,0.5409836065573771
rbig,10.0,TFC,0.0114709371700882,0.0002196468703914,0.5491803278688525
rbig,10.0,KEY,0.0117095876485109,0.0002268833923153,0.5245901639344263
rbig,10.0,RF,0.0118438424542546,0.000244745024247,0.5819672131147541
rbig,10.0,FITB,0.0130002414807677,0.0003059119335375,0.5081967213114754
rbig,10.0,VLY,0.0123630575835704,0.000271981669357,0.5327868852459017
rbig,10.0,FHN,0.011296322569251,0.0002328917471459,0.5245901639344263
rbig,10.0,PNC,0.0107739549130201,0.0002030944888247,0.5081967213114754
rbig,10.0,WAFD,0.0103149004280567,0.0002399511577095,0.4590163934426229
rbig,10.0,FNB,0.0113031426444649,0.0002394206967437,0.5163934426229508
rbig,10.0,FULT,0.0126146031543612,0.0002778524067252,0.5409836065573771
rbig,10.0,ASB,0.0121353734284639,0.0002528686309233,0.5245901639344263
rbig,10.0,WBS,0.0094976117834448,0.0001937963679665,0.5081967213114754
rbig,10.0,MTB,0.0107794729992747,0.0001890057756099,0.5327868852459017
rbig,10.0,ZION,0.0124580990523099,0.0002842749236151,0.5737704918032787
rbig,10.0,BOH,0.0117644891142845,0.0002363889216212,0.4754098360655737
rbig,10.0,UBSI,0.009970529936254,0.000192642037291,0.5081967213114754
rbig,10.0,CVBF,0.011902910657227,0.0002390465233474,0.5081967213114754
rbig,10.0,CBSH,0.0098590413108468,0.0001907844125526,0.5245901639344263
rbig,10.0,GBCI,0.0134970154613256,0.000319807237247,0.5491803278688525
gan,10.0,BAC,0.0109979333356022,0.0002060209226328,0.5573770491803278
gan,10.0,WFC,0.0137149160727858,0.0003140630724374,0.5409836065573771
gan,10.0,JPM,0.0116191422566771,0.0002383176470175,0.5081967213114754
gan,10.0,C,0.0149211380630731,0.0004066805704496,0.5573770491803278
gan,10.0,HBAN,0.0133470250293612,0.0003075574059039,0.5
gan,10.0,USB,0.0107586653903126,0.0002039477112703,0.5409836065573771
gan,10.0,TFC,0.0114677343517541,0.000219661349547,0.5491803278688525
gan,10.0,KEY,0.0117149269208312,0.0002269900578539,0.5245901639344263
gan,10.0,RF,0.011845551431179,0.0002447319275233,0.5819672131147541
gan,10.0,FITB,0.0130002386868,0.0003059119626414,0.5081967213114754
gan,10.0,VLY,0.0123624512925744,0.0002719565236475,0.5327868852459017
gan,10.0,FHN,0.0112960981205105,0.0002328893606318,0.5245901639344263
gan,10.0,PNC,0.0107739549130201,0.000203096496989,0.5081967213114754
gan,10.0,WAFD,0.010306536220014,0.0002397447533439,0.5327868852459017
gan,10.0,FNB,0.0113172214478254,0.0002398116484982,0.5163934426229508
gan,10.0,FULT,0.0126152327284216,0.0002778708585537,0.5409836065573771
gan,10.0,ASB,0.0121372565627098,0.0002529027988202,0.5245901639344263
gan,10.0,WBS,0.0094962874427437,0.0001938258646987,0.5081967213114754
gan,10.0,MTB,0.0107794720679521,0.0001890065468614,0.5327868852459017
gan,10.0,ZION,0.0124540515244007,0.0002842603716999,0.5737704918032787
gan,10.0,BOH,0.0117639731615781,0.0002363966632401,0.4754098360655737
gan,10.0,UBSI,0.009970529936254,0.0001926221448229,0.5081967213114754
gan,10.0,CVBF,0.0119027299806475,0.0002390377339906,0.5081967213114754
gan,10.0,CBSH,0.0098603395745158,0.0001910762075567,0.5245901639344263
gan,10.0,GBCI,0.0134983966127038,0.0003198301128577,0.5491803278688525
noise,10.0,BAC,0.010997150093317,0.0002060337283182,0.5573770491803278
