etiqueta,mmd,w1,frobenius,test_mae,test_mse,precision_direccional,n_train,segundos
buena_1,0.0011140969065643,0.0819628317546748,0.2379213636929932,0.011774258249446157,0.00025012884593275165,0.5147540983606558,7074,261.4
buena_2,0.0015157757661307,0.077598265873459,0.3004232684975493,0.011760520862751337,0.00024915328773868526,0.519016393442623,7074,548.3
buena_3,0.0018464974976878,0.0970456932830851,0.2124520723654897,0.01178005724103704,0.0002498932922829213,0.5121311475409837,7074,477.5
intermedia,0.0355826461102026,0.3178915780646973,1.2210621131262536,0.011769051659510706,0.000249861763099884,0.5252459016393443,7074,181.1
mala,0.3004486741697111,0.7752992762431778,2.465332236658546,0.011753096376036781,0.0002496399956287038,0.5291803278688525,7074,572.2
muy_mala,0.8910858388161043,3.036733459463683,2.88583055797037,0.011769160310060317,0.00025036112894683227,0.520327868852459,7074,145.3
