ticker,noise,gaussian,rbig,gan,solo_reales
BAC,0.011687059702293461,0.011206926682565078,0.011047110562406181,0.010972619143560217,0.010901161757324997
WFC,0.014025661225248466,0.01381451916659697,0.013710219721082707,0.013728683911729718,0.013799122295195566
JPM,0.011961447965033765,0.011863828110566,0.011662206819668328,0.011749600068315076,0.011650803697609102
C,0.015256296276388605,0.014945370174220552,0.014915649593672878,0.014913593977433713,0.014859496040764442
HBAN,0.013982834287697622,0.013620273271049546,0.013315690945689697,0.013365246281489001,0.013392400145524338
USB,0.011215442672488316,0.01095703270407322,0.010881840237429817,0.010931595967259003,0.010859448681161007
TFC,0.011795455573172811,0.011600152285831392,0.011514132514153893,0.011430882226116408,0.011412771787745577
KEY,0.012221162001307772,0.011927855294141664,0.011689800048835543,0.01172947977710827,0.011715452461048001
RF,0.012454385013940894,0.012065844845506567,0.011784225951351281,0.011766758776139655,0.012051865849066945
FITB,0.01378043228435185,0.013478949837890664,0.013002869878739814,0.013024092564511393,0.013070422586644717
VLY,0.01248994846645391,0.01237819921985453,0.01231568014844564,0.012365010257419908,0.012685979963962715
FHN,0.011729415369022087,0.011394379155826286,0.011265206263736347,0.011355410933578404,0.011335538326564509
PNC,0.011159301556609217,0.010914780246306073,0.010768217440429583,0.010802365417105442,0.01076694168997851
WAFD,0.010480979433527467,0.010310475523866205,0.010298780616467563,0.01032880472035699,0.010605981070753669
FNB,0.011521431233936045,0.011319279000861786,0.011269579003760702,0.011200139118221606,0.011332675293157185
FULT,0.012763690463344747,0.012706063622180377,0.01256633019618081,0.012722711680786793,0.012600499166638959
ASB,0.012437869989014555,0.012132565326945925,0.01209686815512908,0.01208214252034215,0.012241035430284364
WBS,0.010101093007188871,0.009800037252342266,0.009477724945627857,0.009609083755671648,0.009901471148375286
MTB,0.011285960550371793,0.010980353050319549,0.010784255087109522,0.01086343003250485,0.01080341874171153
ZION,0.01318734338830122,0.012632221822517704,0.012569400203069566,0.012555323021550461,0.012561587651143354
BOH,0.011854017713134685,0.012012655879612361,0.011706504051097027,0.011732162407230191,0.011853552211928941
UBSI,0.010286531557277476,0.01002634177662096,0.009965968197698198,0.010013814629096134,0.010071824988822666
CVBF,0.012177889342495187,0.011878486729355217,0.01191248551533394,0.011999011687198606,0.012132257236375208
CBSH,0.010099381648046394,0.00991117752449626,0.009861019331378246,0.009866639421897746,0.00989223639635126
GBCI,0.013445225877611556,0.013321456177941447,0.013500280724642459,0.013367523479307152,0.013466594010694737
