family,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds
gan,48,800,256,64x128x64,32x16,0.0005,2,0.7067791664999951,1.2176189863531697,3.389052941705067,1.0,0.46582320574815705,,216.9
gan,48,2000,128,16x32x16,64x32,0.0003,5,0.0015157757661307114,0.07759826587345901,0.30042326849754936,1.0,0.7889496444590669,,1200.4
gan,16,2000,256,64x128x64,32x16,0.0005,5,0.07346250964781853,0.26629895879054977,1.2761594179623308,1.0,0.8484451292534864,,1054.4
gan,48,2000,64,32x64x32,64x64,0.0003,4,0.02681110960996891,0.19152592053095255,0.3167793380681458,1.0,0.684412526394021,,898.9
gan,32,1500,64,32x64x32,32x16,0.001,3,0.0667131251494868,0.28725860207864423,2.6173141613445408,1.0,0.9300014828990936,,543.0
