family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.0,0.001,3e-05,16,16,0.01810501826306184,0.018107110013564427,0.015504153445363045,398.3333333333333,400.0,1.0001161813878037,1.1678888773659073,48441.0,0.0002154563157041528,191.2,,,,,,
cnn,0.2,0.001,0.0001,32,,0.011712641765673956,0.011712641765673956,0.01444145975013574,399.0,400.0,1.0,0.8110427635361077,68281.0,1.2439923198437177e-05,204.3,32x64,64.0,False,7.0,,
rnn,0.0,0.1,0.0001,16,,0.011514159850776196,0.011514405099054178,0.01424443411330382,378.0,400.0,1.0000213017994712,0.8083269398970049,5313.0,3.1725783391926375e-06,330.7,,100.0,,,8,0.0
dense,0.3,0.1,0.0005,16,16,0.011516950093209743,0.011517572216689587,0.014257630643745264,137.66666666666666,178.66666666666666,1.000054017340158,0.8077744726215551,48441.0,2.737387095034696e-06,83.5,,,,,,
