synth_years,noise,gaussian,rbig,gan
0,0.5039344262295082,0.5039344262295082,0.5039344262295082,0.5039344262295082
7,0.518360655737705,0.5354098360655738,0.5209836065573771,0.5363934426229509
14,0.5563934426229509,0.5180327868852459,0.5452459016393443,0.5118032786885246
21,0.4855737704918033,0.5121311475409837,0.5150819672131147,0.5259016393442623
28,0.5186885245901639,0.4954098360655737,0.5291803278688525,0.5108196721311475
