synth_years,gan,gaussian,noise,rbig,solo_reales
0,,,,,0.0117921935249746
7,0.0118257061595574,0.0119258353837226,0.0118575482992152,0.0118980688184871,
14,0.0118658987282826,0.011821394175859,0.0118351658078582,0.011828457142343,
21,0.0117935482512574,0.011810531779483,0.011788643310629,0.0117624215506513,
28,0.0117714376657256,0.0118601523048673,0.0117720869260547,0.0117755120583589,
