family,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds
gan,16,800,256,128x128,32x16,0.0001,3,0.035582646110202676,0.31789157806469737,1.2210621131262536,1.0,0.5999603469336849,,296.3
gan,32,1500,128,64x128x64,128x64,0.0005,4,0.009081556344778474,0.15655009678256,0.36889000207334394,1.0,0.700437407889172,,763.6
gan,48,1200,256,64x128x64,128x64,0.0003,4,0.04960459043102572,0.24249613339855364,0.5076000693171963,1.0,0.6693417685861242,,579.4
gan,48,800,256,64x128x64,16x8,0.0003,2,0.7932141291981811,1.1980720553179922,2.102529287526495,1.0,0.43669312739001126,,196.3
gan,48,2000,128,32x64x32,64x32,0.001,4,0.014741519837469186,0.14718655809265976,1.0397846729743108,1.0,0.8128015569961251,,814.2
gan,16,2000,128,32x32,32x16,0.0005,2,0.09611245394310608,0.3638937438285374,1.4407578816740663,1.0,0.7801950808871556,,489.2
gan,16,1500,128,64x128x64,32x16,0.0003,6,0.30044867416971116,0.7752992762431778,2.465332236658546,1.0,0.7848312359555436,,938.0
