family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.4,1e-05,5e-05,32,16,0.01366789499297738,0.013719863956794143,1.003635230997689,0.9626797999796951,72.25,48441.0,0.002671557528816931,0.017640117555856705,4,36.0,,,,,,
cnn,0.5,0.001,5e-05,128,,0.08931928314268589,0.08931928314268589,1.0,0.9877225702192602,400.0,197889.0,0.04211370759107406,0.1475394070148468,4,184.8,64,100.0,False,5.0,,
rnn,0.4,1e-05,0.0005,16,,0.012974283890798688,0.012978276703506708,1.0003036738420992,0.9409827507375353,328.25,7289.0,0.0026289406766739133,0.016899676993489265,4,818.1,,64.0,,,16x8,0.3
dense,0.4,1e-05,3e-05,128,32x16,0.01406934019178152,0.014080595690757036,1.0007744156355982,0.9598333941997865,282.25,96985.0,0.0026512353886261357,0.018018115311861038,4,121.3,,,,,,
cnn,0.4,0.0,0.001,32,,0.012946220813319087,0.012955381069332361,1.0007549033322216,0.9351691207813487,53.75,16809.0,0.002644318714209396,0.016903353855013847,4,32.3,64,8.0,True,5.0,,
rnn,0.4,1e-05,0.0005,16,,0.012958339881151915,0.012962433509528637,1.0003489536976948,0.9388759349845698,288.75,16473.0,0.0026366928376234202,0.016899462789297104,4,431.4,,64.0,,,32x16,0.0
dense,0.5,0.0,0.0003,16,32x16,0.012935994658619165,0.0129979751072824,1.005297288758772,0.9349592513108622,71.75,96985.0,0.002652426117827519,0.016900116577744484,4,46.3,,,,,,
cnn,0.2,0.0001,0.0003,32,,0.013003224041312933,0.01300768880173564,1.0002791106476205,0.9416685458226628,383.25,9913.0,0.0026627516276458403,0.01698109321296215,4,179.1,32,32.0,True,5.0,,
rnn,0.1,0.0,0.001,16,,0.01287415693514049,0.013024096842855215,1.0111170280249948,0.9465441462177996,103.75,2185.0,0.002561696227900532,0.016708191484212875,4,137.1,,8.0,,,8,0.2
dense,0.5,0.1,0.0001,64,32,0.7707673981785774,0.7707673981785774,1.0,0.9951359387673125,400.0,96857.0,0.4145069952673722,1.3037501573562622,4,170.1,,,,,,
