model,fit_seconds,n_params,val_mse,val_mae,val_directional_accuracy,val_mae_se,mse,mae,directional_accuracy
constante,0.0,,0.00025012599681502524,0.011517678813369212,0.5276190476190477,0.0007572478622845651,0.00024967691586801614,0.011769771219364372,0.5291803278688525
baseline,0.0,,0.0005143355350625384,0.017142069556642527,0.4634920634920635,0.0010018087294924084,0.0005124825268771548,0.017366974288620104,0.47672131147540986
linear,0.36725378036499023,,0.0006736418074277845,0.01957314086734516,0.49873015873015875,0.0012100255732018855,0.0006282488117898973,0.01964939481303148,0.48131147540983604
dense,12.381015539169312,394009.0,0.0002500545423032869,0.01153206293388092,0.5104761904761905,0.0007547441271204097,0.0002497293112415589,0.01176360764067443,0.52
cnn_1bloque,12.440367937088013,197889.0,0.0002500772762932177,0.01153271213617877,0.5104761904761905,0.0007547170793802906,0.0002497284117216489,0.011764097454721739,0.52
cnn_3bloques,14.481651067733765,150273.0,0.00025005244411974116,0.011531660274109973,0.5104761904761905,0.0007547388447894726,0.00024972955383011547,0.011763634794763536,0.52
rnn_1capa,36.87929058074951,38465.0,0.0002500684235384433,0.011532983648202856,0.5104761904761905,0.0007546858583918624,0.00024973087115434233,0.011763704209671254,0.52
rnn_2capas,69.32561874389648,143681.0,0.00025006967607960984,0.011532480108049728,0.5104761904761905,0.0007547120094643385,0.00024972953435591576,0.011763955191633415,0.52
