family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size
dense,0.0,0.001,3e-05,16,16,0.01152669033035636,0.011526825837790966,0.015046501532196999,51.5,92.5,1.000011758642655,0.7660711270529647,48441.0,5.888046445873493e-06,186.0,,,,
cnn,0.2,0.001,0.0001,32,,0.011522936169058084,0.011523289140313864,0.015049682930111885,45.5,86.5,1.000030625320535,0.7656597393162854,68281.0,7.232794331174205e-06,270.0,32x64,64.0,False,7.0
