family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,noise_dist,df,shrinkage_alpha,shrinkage_target,marginal,rotation,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
noise,0.01,False,0.1196474207783007,0.4484258533407843,0.6095750456775739,1.0,1.5172983389404626,0.002959583999903,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0564831935801647,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0019028867461421,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.000237023562827,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,0.0003352019371519,1.7,,20.0,100.0,,,,,,,,,,,,,
noise,0.1,True,0.0001202889145691,0.0349357013820545,0.3631120024491393,1.0,1.0766437825177635,0.0001701142143867,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0531470668232337,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0122218138401072,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0021884186354994,0.0931113574050988,0.7643451474132419,1.0,1.1787933416981384,0.0008852413262668,0.9,,5.0,1000.0,,,,,,,,,,,,,
noise,0.05,False,0.3707021589642981,3.110154056851544,1.284352345325244,1.0,4.769962407682058,0.0007829521611858,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0500760503407664,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0057254421932931,0.5,True,,,,,,,,,,,,,,,
rbig,,,7.407765871197958e-05,0.042009991706489,0.4467581063256508,1.0,1.003797378700326,7.106188113088645e-05,2.0,,20.0,1000.0,,,,,,,,,,,,,
noise,0.05,True,0.0001605828654686,0.0325457540883223,0.3646728229449607,1.0,1.072505761157302,0.0002270984662305,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0610689731621213,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0065344174066492,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.001381958541073,0.0750742896030214,0.6566586164068196,1.0,1.0758504538373657,0.0011281999106622,1.1,,10.0,400.0,,,,,,,,,,,,,
noise,0.05,True,0.0,0.0325457540883223,0.3646728229449607,1.0,1.072505761157302,0.0,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0576638051099561,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0026336426023228,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0002770634901768,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,2.0818379022338423e-05,1.9,,20.0,100.0,,,,,,,,,,,,,
noise,0.05,False,0.3715453975604471,3.110154056851544,1.284352345325244,1.0,4.769962407682058,0.0001214256104493,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0513639770411913,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0020194421937931,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0022909242811958,0.0813768626105222,0.7663528899851924,1.0,1.0656752817272048,0.0011625656159009,0.8,,5.0,200.0,,,,,,,,,,,,,
noise,0.15,True,0.0001937941314815,0.0407215255585134,0.362106111655096,1.0,1.0834808003297498,0.0002740662890494,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0578976559237972,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0058438200017624,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0018230911812226,0.0847443792354674,0.7665643100000914,1.0,1.1020874416789757,0.0003032255316452,0.9,,5.0,400.0,,,,,,,,,,,,,
noise,0.2,False,0.381002581059934,13.27374402748999,1.388323780767402,1.0,17.890424771384172,0.0003219696871011,0.6,,,,,,,,,,,,,,,,
gaussian,,,0.0557460618582091,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0053315571740208,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0006013466924078,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,0.0003919352828392,1.8,,20.0,100.0,,,,,,,,,,,,,
noise,0.3,True,0.0031674002413354,0.079012259579527,0.3724492836175664,1.0,1.119485537281879,0.0007418085166226,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0537746995427588,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.003646003503196,0.5,False,,,,,,,,,,,,,,,
