family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.0,0.001,3e-05,16,16,0.021066091023385525,0.021079775411635637,1.000712446485537,1.3174205592759463,400.0,48441.0,0.004638653742088586,0.026484958827495575,4,219.1,,,,,,
cnn,0.2,0.001,0.0001,32,,0.014649515505880117,0.014668673742562532,1.0011075205333586,0.9498022820053031,400.0,68281.0,0.003515263626928465,0.018065134063363075,4,240.2,32x64,64.0,False,7.0,,
rnn,0.0,0.1,0.0001,16,,0.015935805160552263,0.015936187002807856,1.000033131942161,0.9571590328193392,398.0,5313.0,0.005788345206214453,0.023686673492193222,4,394.6,,100.0,,,8,0.0
dense,0.3,0.1,0.0005,16,16,0.013037523487582803,0.013041051337495446,1.0002828584033878,0.9427777315229131,241.5,48441.0,0.0026108028184424537,0.01692112162709236,4,128.2,,,,,,
cnn,0.5,0.0,0.0001,128,,0.012931839562952518,0.013359826523810625,1.0363234114320787,0.9236908648665998,78.0,4633.0,0.002685845067231929,0.016954580321907997,4,42.1,8,100.0,True,3.0,,
rnn,0.0,0.0,0.001,32,,0.012955510756000876,0.014583928976207972,1.1305013363740153,0.9456047606128329,77.75,133209.0,0.002621319066769917,0.0168622899800539,4,444.8,,32.0,,,64x128,0.3
dense,0.4,0.0001,5e-05,128,8,0.015102750388905406,0.015187215758487582,1.0056827783569193,0.960268603562292,315.75,24233.0,0.0026986185291464,0.018987488001585007,4,138.7,,,,,,
cnn,0.4,0.001,0.0003,128,,0.020100614987313747,0.020100614987313747,1.0,0.9820668320751386,400.0,2977.0,0.007138282459062152,0.02911284752190113,4,219.2,8x16,32.0,True,3.0,,
rnn,0.5,0.1,0.0003,16,,0.013038714649155736,0.013041199184954166,1.0001971281059956,0.9432140829653419,254.5,143681.0,0.002611120278280981,0.016922079026699066,4,1818.0,,100.0,,,64x128,0.3
dense,0.4,0.0001,0.0003,128,128,0.01689659641124308,0.017288814298808575,1.0216777873503746,1.9663016753281757,383.5,387353.0,0.0030395696079369675,0.019858695566654205,4,184.8,,,,,,
cnn,0.6,0.0,0.0001,128,,0.012951272074133158,0.013184144860133529,1.0196416547061127,0.9232540687035091,56.5,199705.0,0.002677047701129348,0.016957731917500496,4,47.0,64x128x128,32.0,True,7.0,,
rnn,0.0,0.1,0.001,32,,0.013210471021011472,0.013217892730608582,1.0005758283545934,0.9491066737082314,223.25,4089.0,0.0025573581924498976,0.016916144639253616,4,164.6,,64.0,,,8,0.0
dense,0.5,1e-05,0.0005,64,32x16,0.013481085188686848,0.014302852330729365,1.063089621515251,0.9679970653409775,258.5,96985.0,0.0027606187470586635,0.017527231946587563,4,129.9,,,,,,
cnn,0.0,0.0,0.0001,32,,0.013840635307133198,0.01467948337085545,1.0594888734958896,1.0091968573100136,50.25,97761.0,0.00272738887151816,0.017726344987750053,4,40.0,32x64,100.0,False,5.0,,
rnn,0.0,0.01,0.0003,128,,0.0666934996843338,0.0666934996843338,1.0,0.9829052456024444,400.0,4985.0,0.026520137749801578,0.086222343146801,4,219.4,,16.0,,,16,0.0
