family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size
dense,0.2,0.0,3e-05,128,32x16,0.011490324977785349,0.011552378069609404,0.014451668132096529,94.0,135.0,1.0054008956620306,0.7951606403577541,96985.0,9.666774832678335e-06,96.9,,,,
cnn,0.5,0.0001,3e-05,16,,0.01152665726840496,0.01152684073895216,0.015046532265841961,55.0,96.0,1.0000159168042346,0.7660673640320843,18121.0,5.880802456285683e-06,296.4,16,32.0,False,3.0
