synth_years,gan,gaussian,noise,rbig,solo_reales
0,,,,,0.0
7,-0.2841933904139591,-1.1333078825831768,-0.5542206723641888,-0.8978422317126015,
14,-0.6250338679729198,-0.24762696458938208,-0.3644129719597125,-0.3075222374157841,
21,-0.011488331496007483,-0.15551181779337067,0.03010647966454297,0.2524718938868043,
28,0.17601355680807337,-0.576303125866882,0.17050770814875793,0.14146194751952365,
