family,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds
gan,32,1200,256,16x32x16,64x32,0.001,5,0.006551202912197351,0.1379611019428788,0.3385088211419062,1.0,0.7423660832641592,,736.3
gan,32,2000,256,64x64,32x16,0.001,3,0.03902588905732851,0.2895838661398892,1.3932445077456588,1.0,0.8366807070298454,,755.0
gan,32,1200,256,32x32,128x64,0.0001,3,0.0035131494273595854,0.14654089830520392,0.4057579319931697,1.0,0.7277952015614596,,419.5
gan,8,800,256,128x128,64x64,0.0005,4,0.004401695916833148,0.12955476064067248,0.7864570102437106,1.0,0.7308155361309339,,342.4
gan,48,2000,256,128x128,64x32,0.0005,6,0.0036510868938466334,0.09725581073258911,0.33453238358190773,1.0,0.7717982175103146,,1330.1
gan,8,1500,64,64x128x64,16x8,0.001,2,0.3671732405497803,0.7176092660428612,2.0838482195572148,1.0,0.04166895421622031,,366.5
