family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size
dense,0.5,0.0001,0.0001,16,16,0.011629193089902401,0.012469309382140636,0.015106726437807083,11.0,52.0,1.0722424174384861,0.7698024497434806,48441.0,1.708264453707174e-05,113.3,,,,
cnn,0.4,0.01,5e-05,128,,0.011528444942086935,0.011528653558343649,0.01504470780491829,198.0,239.0,1.0000180953643387,0.7662790870901257,8489.0,1.034573422040852e-06,228.9,16x32,32.0,True,5.0
