family,sigma,relative,noise_dist,df,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,shrinkage_alpha,shrinkage_target,marginal,n_iters,grid_size,rotation
noise,0.11586,True,student_t,3.0,0.0,0.023800269155034408,0.3299460054938664,1.0,1.035943826887643,0.0,0.4,,,,,,,
gaussian,,,,,0.05778971162031049,0.2498730452335473,0.20246135024339915,1.0,1.0189164993773074,0.001287995651687234,0.3,False,0.03683,identity,gaussian,,,
rbig,,,,,0.00013792203447998697,0.024728063143028355,0.18825948023002986,1.0,0.9069106880437936,0.0001950512117116872,20.4,,,,,80.0,600.0,pca
noise,0.28401,False,normal,0.0,0.38373065378781723,17.57010145349402,1.3462144547210362,1.0,23.382786796829357,0.001223103991450028,0.3,,,,,,,
gaussian,,,,,0.003539054581063239,0.01952888232930001,0.30364360990628125,1.0,0.9889568227855403,0.00024062026605913028,0.6,False,0.01669,identity,rank_gauss,,,
rbig,,,,,0.00030845192967110524,0.026773442904155696,0.17138437671454165,1.0,0.8969384272548204,0.00024001489466779236,13.3,,,,,50.0,600.0,random
noise,0.21095,True,student_t,5.0,0.0004471118707975452,0.03794458473428076,0.3294897950728909,1.0,1.0514922987665076,0.00015220736299381582,0.3,,,,,,,
gaussian,,,,,0.009395857918874484,0.018906557704438956,1.1062731580417577,1.0,0.9902713047260407,0.0026004973667092634,0.6,False,0.75155,diagonal,rank_gauss,,,
rbig,,,,,3.6871911696378934e-05,0.023690141995419852,0.189029677112654,1.0,0.9238081137540113,5.214475759164224e-05,5.6,,,,,20.0,1000.0,pca
noise,0.13572,False,student_t,10.0,0.3846406463353018,8.012689002024214,1.341599820472373,1.0,11.366373385889467,0.0004089359193126346,0.3,,,,,,,
gaussian,,,,,0.005554582061149005,0.019526997910610855,0.2869748701150576,1.0,0.9890366479842909,0.0017217505961935851,0.6,True,,diagonal,rank_gauss,,,
rbig,,,,,0.0,0.03632881025188741,0.15414440784318226,1.0,0.9044586801239222,0.0,25.1,,,,,100.0,200.0,pca
noise,0.18421,False,student_t,10.0,0.38502478829858217,10.980984854846962,1.3507067178569017,1.0,15.324201506526684,0.0020195048284804055,0.3,,,,,,,
gaussian,,,,,0.012189811745779766,0.018904398677545287,1.182942638499349,1.0,0.9908399144294346,0.0003021634166866955,0.6,False,0.82718,diagonal,rank_gauss,,,
