generador,config,mmd,wasserstein_mean,frobenius_corr,frac_valida,std_ratio_mean,segundos
gaussian,clase,0.0420126670902341,0.21284593565697385,0.0960948330009116,1.0,0.9207116193298,0.0
gaussian,hpbest,0.0035450473588866105,0.019129042137424543,0.30286384679550343,1.0,0.9229266175988021,0.3
noise,clase,0.0,0.022642685394617057,0.1272770262307843,1.0,0.9304888484541932,0.0
noise,hpbest,0.0,0.01899087493779552,0.11481616540714724,1.0,0.9198850962408349,0.0
rbig,clase,8.029561022304676e-06,0.03722852176919108,0.195368462280407,1.0,0.8271911054001067,4.0
rbig,hpbest,0.0,0.024906766999927412,0.11336001253068963,1.0,0.8559229659427301,21.4
