family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.2,0.0,3e-05,128,32x16,0.013222800800576806,0.013281465508043766,1.0046360814346729,0.9603387346046084,119.5,96985.0,0.0026946317708538927,0.017206592485308647,4,59.0,,,,,,
cnn,0.5,0.0001,3e-05,16,,0.01641979068517685,0.01641979068517685,1.0,0.9563025927631463,400.0,18121.0,0.003887287902428817,0.02087787166237831,4,246.5,16,32.0,False,3.0,,
rnn,0.4,1e-05,0.0005,32,,0.013196683954447508,0.013362765312194824,1.0129392612131676,0.9328600353878842,293.0,5657.0,0.002561723914465603,0.01692144386470318,4,603.2,,16.0,,,16x8,0.2
dense,0.1,0.0,3e-05,64,64,0.01408231258392334,0.014246637467294931,1.0113641418738926,1.081240204924215,87.5,193689.0,0.0031793498091786518,0.018631529062986374,4,44.9,,,,,,
cnn,0.1,0.01,3e-05,64,,1.0182547271251678,1.0182547271251678,1.0,0.9966462671349849,400.0,210177.0,0.3165703706122158,1.2776376008987427,4,288.8,64x128x128,100.0,True,7.0,,
rnn,0.6,0.0,5e-05,32,,0.012911690864712,0.013041891623288393,1.0110652123310664,0.8548959673381812,118.5,14457.0,0.0026676324136457237,0.016908861696720123,4,311.1,,16.0,,,32x16,0.1
dense,0.1,0.01,0.0001,64,8,0.053943246603012085,0.053943246603012085,1.0,0.9881756825191939,400.0,24233.0,0.014000781049423998,0.06646883487701416,4,202.4,,,,,,
cnn,0.3,0.0001,5e-05,16,,0.01866431161761284,0.018767851870507002,1.0057740239802353,1.3649776379490053,367.0,65913.0,0.003631792083142868,0.02335098385810852,4,270.8,32,64.0,False,3.0,,
rnn,0.1,0.1,3e-05,32,,3.912781298160553,3.912781298160553,1.0,0.9977205278353019,400.0,7001.0,1.4455037701952842,5.487961769104004,4,469.2,,64.0,,,16,0.2
dense,0.6,0.0,0.0005,64,64,0.012992305215448141,0.013862530468031764,1.0706814310753128,0.9521167835604867,70.0,193689.0,0.002606884607601889,0.016880977898836136,4,41.1,,,,,,
cnn,0.0,0.0001,3e-05,128,,0.018756697420030832,0.018789192661643028,1.001695086278077,0.9994386100983876,327.75,18377.0,0.0029433563053664715,0.022753732278943062,4,155.4,32,8.0,False,7.0,,
rnn,0.4,0.01,0.0001,128,,0.37123803421854973,0.37123803421854973,1.0,0.9956480878730394,400.0,8513.0,0.09634407056913977,0.4239492416381836,4,282.7,,100.0,,,16,0.2
dense,0.3,0.0,5e-05,16,128x64,0.01326421182602644,0.013647278072312474,1.0279328473174174,0.9940186950607576,57.0,394009.0,0.002721066734268356,0.0172983817756176,4,49.9,,,,,,
cnn,0.6,1e-05,3e-05,64,,0.014669596450403333,0.014712052652612329,1.003007567310375,0.9435543490051219,318.75,22345.0,0.002685505162628572,0.018615776672959328,4,162.2,8x16,100.0,False,7.0,,
rnn,0.6,0.0001,0.0003,64,,0.01400421536527574,0.014004523865878582,1.000024721724363,0.9660860948703738,400.0,8513.0,0.0028927155757011635,0.017048131674528122,4,513.2,,100.0,,,16x8,0.1
dense,0.2,0.001,0.0005,128,32,0.017363673076033592,0.017504458781331778,1.008832025644803,1.4297686716037044,383.75,96857.0,0.0031914676766308476,0.022146884351968765,4,182.1,,,,,,
cnn,0.4,0.001,0.0005,16,,0.013035916723310947,0.013040020829066634,1.0003201058923514,0.9426879978422323,203.5,8985.0,0.0026109860837047086,0.016920309513807297,4,132.3,32,16.0,True,5.0,,
rnn,0.5,0.0001,5e-05,128,,0.023544104769825935,0.023580736480653286,1.0013243214069099,0.9548586958618961,318.0,16449.0,0.004238703297714176,0.027660740539431572,4,207.0,,100.0,,,32,0.0
dense,0.0,0.01,0.001,128,128,0.013849003706127405,0.014060581335797906,1.013774453897217,0.9577500273188427,318.5,387353.0,0.0027741040035433417,0.01695173606276512,4,157.2,,,,,,
cnn,0.5,0.0,0.0003,128,,0.013079893542453647,0.014062329893931746,1.0794880746559132,0.9199669340391955,67.25,9305.0,0.0026097582652912315,0.016946181654930115,4,43.2,16,8.0,False,7.0,,
rnn,0.6,0.001,0.0005,32,,0.013222582172602415,0.013227062532678246,1.0003372098845287,0.9499342527123618,314.75,5657.0,0.002555853890396616,0.016917366534471512,4,371.4,,32.0,,,16,0.3
dense,0.6,0.001,5e-05,32,32,0.021785200107842684,0.021785200107842684,1.0,1.096287283418174,400.0,96857.0,0.005296868708511589,0.027129150927066803,4,204.1,,,,,,
cnn,0.4,0.01,0.0003,32,,0.013383661396801472,0.013383988989517093,1.0000282569430543,0.950669952884658,396.75,4473.0,0.002590784102217258,0.017003564164042473,4,217.5,16x32,8.0,True,3.0,,
rnn,0.6,0.0001,0.0001,128,,0.017264197347685695,0.01737742987461388,1.0060739002310213,0.9083724253478596,313.0,2457.0,0.0029423322183445046,0.020732924342155457,4,229.9,,16.0,,,8,0.3
dense,0.1,0.1,3e-05,128,32x16,4.235829710960388,4.235829710960388,1.0,0.9985343820522036,400.0,96985.0,0.5167937859940224,4.496496677398682,4,187.4,,,,,,
cnn,0.3,1e-05,0.0001,32,,0.013499164953827858,0.013741894392296672,1.0189184474309614,0.9686724100047541,212.0,5377.0,0.0026618281756588787,0.017444271594285965,4,124.3,8x16,16.0,False,3.0,,
rnn,0.2,0.001,0.0005,16,,0.013038190780207515,0.013042230857536197,1.0003109942896085,0.9427907577793234,238.5,5657.0,0.0026100624657059367,0.016920655965805054,4,755.6,,16.0,,,16x8,0.3
dense,0.3,1e-05,3e-05,32,64,0.01516330474987626,0.01533379009924829,1.010930803692617,1.033811966101903,86.5,193689.0,0.003011213058098945,0.01958579756319523,4,61.5,,,,,,
cnn,0.3,0.001,0.0003,16,,0.013040962629020214,0.013043600367382169,1.0002044211958205,0.9433183846221715,316.0,3377.0,0.002610520028663467,0.01692277565598488,4,194.8,8,16.0,True,7.0,,
rnn,0.4,0.1,5e-05,64,,3.943844437599182,3.943844437599182,1.0,0.9983103427865454,400.0,4985.0,0.8308156635413981,4.611179828643799,4,350.8,,16.0,,,16,0.1
dense,0.2,0.0001,0.001,32,32x16,0.014453509356826544,0.015304438769817352,1.0634798217235941,1.2263741358842,113.0,96985.0,0.002947720998186258,0.018745718523859978,4,73.5,,,,,,
cnn,0.4,0.1,0.0005,128,,0.0506627110298723,0.0506627110298723,1.0,0.9691312746164016,400.0,11081.0,0.024477054242567547,0.06931309401988983,4,197.8,16x32,16.0,False,3.0,,
rnn,0.6,0.0001,0.0001,128,,0.02166003524325788,0.021761385491117835,1.003402929150755,0.9603041236817398,315.75,17985.0,0.006407244089270684,0.029783237725496292,4,389.2,,100.0,,,32x16,0.2
dense,0.6,0.001,5e-05,16,16,0.016352119157090783,0.016380157321691513,1.0020313578916518,1.1165962545416783,398.25,48441.0,0.0033356980166244113,0.020807527005672455,4,220.4,,,,,,
cnn,0.1,0.1,0.0003,16,,0.013038030127063394,0.013041040860116482,1.0002445739355883,0.9431826205438083,324.75,5321.0,0.0026114772984607982,0.01692228391766548,4,206.2,32,8.0,True,3.0,,
rnn,0.3,0.1,0.0001,64,,2.0146117210388184,2.0146117210388184,1.0,0.9958702424986036,400.0,14121.0,0.9053616122495515,2.763718605041504,4,584.1,,8.0,,,32x16,0.1
dense,0.0,0.01,0.0003,32,32,0.013677145587280393,0.013793091988191009,1.0078721575560488,0.9540578856077934,386.0,96857.0,0.0026523610999532963,0.016925130039453506,4,202.0,,,,,,
cnn,0.3,0.1,0.001,32,,0.013209685683250427,0.013223378686234355,1.0010632380511795,0.9492692003715522,182.75,31417.0,0.0025582368089470207,0.016916511580348015,4,123.6,32x64,64.0,True,7.0,,
rnn,0.2,0.0,5e-05,32,,0.012971441494300961,0.013054911978542805,1.0069905966641872,0.9355846064361751,132.0,11577.0,0.002656741574731642,0.016944192349910736,4,196.6,,16.0,,,32,0.2
dense,0.0,0.01,3e-05,16,32x16,0.10118622239679098,0.10118622239679098,1.0,0.982809893729369,400.0,96985.0,0.05580507426045992,0.16775785386562347,4,245.5,,,,,,
cnn,0.6,0.0001,0.0001,16,,0.013050472130998969,0.013050796231254935,1.000026669586544,0.9438653487416939,375.75,15057.0,0.002608034609019379,0.016924841329455376,4,267.3,16x32,100.0,True,7.0,,
rnn,0.3,0.1,0.0001,32,,0.09573036781512201,0.09573036781512201,1.0,0.9288604434642813,400.0,143681.0,0.11649963301486557,0.2612718939781189,4,1900.5,,100.0,,,64x128,0.1
dense,0.0,1e-05,0.0005,128,16,0.013312710681930184,0.014818538445979357,1.1164144207354065,0.9451848471894346,230.75,48441.0,0.00275688566571987,0.01737126149237156,4,117.6,,,,,,
cnn,0.4,0.001,0.0001,128,,0.05277232686057687,0.05277232686057687,1.0,0.9863007624204405,400.0,18689.0,0.016280515093068135,0.06902449578046799,4,206.6,64,100.0,True,3.0,,
rnn,0.4,0.0001,0.0003,32,,0.013308153953403234,0.01339106447994709,1.0062421609116994,0.9528027246498162,351.25,5313.0,0.0025499188146906413,0.016919221729040146,4,420.9,,100.0,,,8,0.3
dense,0.6,0.1,5e-05,128,8,0.9252519011497498,0.9252519011497498,1.0,0.9983713191796613,400.0,24233.0,0.0921151805175044,0.9755935072898865,4,189.3,,,,,,
cnn,0.5,0.0001,3e-05,64,,0.020837048534303904,0.020844703540205956,1.0003274977023962,0.9599446636372386,332.0,19193.0,0.003695047156967991,0.02460361272096634,4,196.1,16x32x64,8.0,False,5.0,,
rnn,0.1,0.0,5e-05,64,,0.012988691218197346,0.01319860271178186,1.0174189348843719,0.9358414654295949,118.25,35225.0,0.0026349256015551267,0.016921507194638252,4,168.3,,64.0,,,64,0.1
dense,0.5,0.001,5e-05,64,64x32,0.04887621942907572,0.04887621942907572,1.0,1.0120594632768762,400.0,194969.0,0.012755936243161483,0.06233098730444908,4,203.1,,,,,,
cnn,0.2,0.001,0.0005,16,,0.013036563759669662,0.013038935838267207,1.000176135607024,0.9427065060313043,262.5,30985.0,0.002610145786127393,0.016919294372200966,4,204.6,32x64,8.0,False,7.0,,
rnn,0.1,0.0001,5e-05,128,,0.020525163505226374,0.02061766479164362,1.0039857644533496,0.9631780192647785,315.5,11577.0,0.0034966104381407848,0.02380153350532055,4,282.6,,16.0,,,32,0.1
dense,0.2,0.1,3e-05,64,32x16,3.0909583568573,3.0909583568573,1.0,0.9986539245178171,400.0,96985.0,0.45584103904199064,3.4660558700561523,4,196.3,,,,,,
cnn,0.2,0.01,0.0001,16,,0.01307206740602851,0.013072536094114184,1.0000346574648182,0.9440829560228672,375.75,150273.0,0.002599670091397966,0.016924789175391197,4,354.7,64x128x128,100.0,False,3.0,,
rnn,0.2,1e-05,0.001,128,,0.013283505104482174,0.015572832198813558,1.1718945726984673,0.9304472094265772,235.75,14457.0,0.002472892390032282,0.016776476055383682,4,311.7,,16.0,,,32x16,0.2
