family,n_iters,grid_size,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,sigma,relative,noise_dist,df,shrinkage,shrinkage_alpha,shrinkage_target,marginal,rotation
gan,,,0.46397702094259174,0.8211777308291277,2.533511133509283,1.0,0.14052049688584764,,199.5,32.0,800.0,32.0,32x64x32,16x8,0.001,2.0,,,,,,,,,
gan,,,0.11768889362744162,0.47588362782681026,1.101913026813808,1.0,0.8967991194718363,,444.9,8.0,1200.0,256.0,32x64x32,32x16,2e-05,3.0,,,,,,,,,
gan,,,0.13518542982868964,0.45541826578995404,1.8175720071268242,1.0,0.6918960192081903,,199.9,4.0,1500.0,64.0,32x32,64x64,0.001,1.0,,,,,,,,,
gan,,,0.6908113496338716,0.9198327448262884,3.5356433533637035,1.0,0.07081626986407055,,168.6,16.0,1200.0,32.0,64x128x64,32x16,0.001,1.0,,,,,,,,,
gan,,,0.6460292644526004,1.0407073590160523,1.7105239226478697,1.0,0.4459245253998688,,122.2,64.0,500.0,64.0,64x128x64,32x16,0.0003,2.0,,,,,,,,,
gan,,,0.7065024276391184,1.197214214931234,2.11342358130024,1.0,0.5275896136494124,,205.2,64.0,1500.0,32.0,64x128x64,128x64,0.0001,1.0,,,,,,,,,
gan,,,0.04983740466452635,0.2934925150611975,1.4234280626318834,1.0,0.722476652132326,,545.5,8.0,1500.0,256.0,128x128,128x64,0.001,3.0,,,,,,,,,
gan,,,0.15828997581615045,0.5649601843800349,1.9358845574733285,1.0,0.7398210588352241,,100.9,8.0,300.0,32.0,32x32,32x16,0.0005,3.0,,,,,,,,,
gan,,,0.17179093961450487,0.5907757374919707,1.2244139482220073,1.0,1.1382485956463586,,178.5,16.0,500.0,128.0,32x32,64x64,5e-05,3.0,,,,,,,,,
gan,,,0.32548684083543833,0.9583849885077642,1.8073019879004268,1.0,0.9691560456446272,,181.5,64.0,1200.0,256.0,16x32x16,64x32,0.0005,1.0,,,,,,,,,
gan,,,0.23822657988364626,0.8885387032269427,1.6334772206726662,1.0,1.1782640713334867,,45.5,32.0,300.0,256.0,16x32x16,32x16,2e-05,1.0,,,,,,,,,
gan,,,0.8813543825416246,1.505972829768482,3.111585035810552,1.0,0.4443989714066648,,194.5,8.0,800.0,32.0,64x128x64,64x32,0.0005,2.0,,,,,,,,,
gan,,,0.28098786887839156,0.6771363853254153,1.1195360977377162,1.0,0.5634358307289022,,74.4,64.0,500.0,256.0,32x64x32,64x32,0.0003,1.0,,,,,,,,,
gan,,,0.399487574195945,1.0702441359943737,2.174002762969326,1.0,0.9909419918541333,,115.9,16.0,500.0,32.0,128x128,32x16,0.0001,2.0,,,,,,,,,
gan,,,0.3502613322626994,0.6695800920485347,3.0396843688765904,1.0,0.3614687374257797,,68.9,32.0,500.0,128.0,64x64,32x16,0.001,1.0,,,,,,,,,
gan,,,0.38249866114055303,1.6897778800348937,1.2543117872957699,1.0,1.7299346365778754,,39.4,64.0,300.0,32.0,64x64,128x64,5e-05,1.0,,,,,,,,,
gan,,,0.5630471509421573,2.095372355913775,1.1787186517068877,1.0,1.0666001238538607,,223.3,32.0,1500.0,256.0,64x128x64,64x32,2e-05,1.0,,,,,,,,,
gan,,,0.3315505164408401,1.1931612300639027,2.765240902099178,1.0,1.2074687379716729,,130.0,4.0,500.0,256.0,64x128x64,64x32,5e-05,2.0,,,,,,,,,
gan,,,0.7873866888995948,1.5128442810707083,1.991771666703729,1.0,0.578608020524261,,72.7,4.0,300.0,32.0,32x64x32,32x16,0.001,2.0,,,,,,,,,
gan,,,1.3838066833556992,3.2321377732772696,,1.0,0.007733649680458796,,185.1,64.0,500.0,256.0,64x128x64,16x8,0.0003,3.0,,,,,,,,,
gan,,,0.3042607295584032,0.719667174888944,1.7947705261945652,1.0,0.5202214646252784,,72.6,4.0,300.0,128.0,16x32x16,16x8,2e-05,2.0,,,,,,,,,
gan,,,0.5821272506672387,2.458937206149538,2.3601175718701644,1.0,1.1823028815535557,,70.6,4.0,500.0,256.0,32x32,16x8,0.0003,1.0,,,,,,,,,
gan,,,0.31939894145602643,0.6813988241048082,3.0561800719045262,1.0,0.5626691138502345,,41.9,64.0,300.0,32.0,16x32x16,32x16,0.001,1.0,,,,,,,,,
gan,,,1.2633689437100828,4.200904014871394,1.9363761980837129,1.0,0.15054498415146994,,68.9,64.0,500.0,64.0,128x128,16x8,0.0003,1.0,,,,,,,,,
gan,,,0.4385695178389593,1.930250901662836,1.7015980463090024,1.0,1.510654242152852,,198.4,32.0,800.0,256.0,32x32,16x8,2e-05,2.0,,,,,,,,,
gan,,,0.4099794746706461,1.2160057240332038,1.302264170239204,1.0,1.103565938217041,,174.1,8.0,1200.0,128.0,32x64x32,64x32,2e-05,1.0,,,,,,,,,
gan,,,0.11856350624719825,0.4444186157388592,1.2168975094909962,1.0,0.8470737649080837,,375.2,8.0,1500.0,128.0,32x64x32,128x64,0.0003,2.0,,,,,,,,,
gan,,,0.03984917534640142,0.29170791564967596,1.2516762900163825,1.0,0.7659409281008172,,273.8,32.0,800.0,64.0,128x128,128x64,0.001,3.0,,,,,,,,,
gan,,,0.9527708604421556,2.0986687898427467,2.284469685402039,1.0,0.541381129586912,,288.9,4.0,800.0,256.0,128x128,16x8,2e-05,3.0,,,,,,,,,
gan,,,0.32509135212246076,0.7966662853805907,1.780058299183956,1.0,0.4945046125981669,,120.3,16.0,800.0,256.0,32x64x32,64x64,0.0003,1.0,,,,,,,,,
gan,,,0.3093839830757439,0.7564027160956381,0.945982006321513,1.0,0.6372869028773607,,72.4,32.0,500.0,64.0,32x64x32,128x64,0.0003,1.0,,,,,,,,,
gan,,,0.14625438245897138,0.549423797147363,1.3558606146018688,1.0,1.1811924805393386,,73.5,64.0,300.0,64.0,128x128,128x64,0.0001,2.0,,,,,,,,,
gan,,,0.12629084502131072,0.4476659036126362,1.8852238389832732,1.0,0.6169804989656436,,120.8,16.0,500.0,64.0,32x32,16x8,0.001,2.0,,,,,,,,,
gan,,,0.021948030032983623,0.21458442684844653,1.0684265537941902,1.0,0.795391293704617,,186.7,4.0,800.0,32.0,32x32,128x64,0.0001,2.0,,,,,,,,,
