family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.5,0.1,0.001,32,128x64,0.012948561226949096,0.01295575755648315,1.0005680630955838,0.9398830380130787,224.75,394009.0,0.0026417343489094553,0.016902156174182892,4,121.1,,,,,,
cnn,0.0,0.001,0.001,32,,0.012949004303663969,0.012954510282725096,1.0004465784523044,0.93988214336657,259.25,10937.0,0.002641597000112971,0.016902344301342964,4,137.9,16x32x64,8.0,True,3.0,,
rnn,0.6,0.1,0.0003,16,,0.01327610807493329,0.013277353486046195,1.0000890364512842,0.9439956113262592,347.0,14457.0,0.0025492358099633737,0.016900498420000076,4,1004.3,,16.0,,,32x16,0.1
dense,0.5,0.1,0.0003,128,8,0.24623951315879822,0.24623951315879822,1.0,0.9885084447649262,400.0,24233.0,0.18246698607775422,0.5044640302658081,4,168.6,,,,,,
cnn,0.3,0.0,3e-05,128,,0.013071972411125898,0.013081238837912679,1.0007073997626803,0.9475470495738073,175.0,22345.0,0.002689858842752794,0.01707683689892292,4,83.2,8x16,100.0,False,7.0,,
rnn,0.3,0.1,0.0003,128,,0.5959269311279058,0.5959269311279058,1.0,0.986670978813197,400.0,130745.0,0.7540744366282255,1.7165000438690186,4,893.2,,16.0,,,64x128,0.3
dense,0.4,0.01,0.0001,16,128,0.013842192944139242,0.013842672342434525,1.0000418363650088,0.9506314738860618,383.5,387353.0,0.0027730662366274627,0.016905633732676506,4,251.5,,,,,,
cnn,0.0,1e-05,5e-05,128,,0.01612545014359057,0.01616972591727972,1.0027207560280365,1.0264672158141686,149.5,47633.0,0.0028797604896736296,0.020381243899464607,4,77.7,16x32,100.0,False,5.0,,
rnn,0.0,0.1,0.0001,128,,4.67959189414978,4.67959189414978,1.0,0.9969663475019468,400.0,32345.0,2.4579867282737045,8.083890914916992,4,275.7,,32.0,,,64,0.0
dense,0.2,0.0,0.0001,128,8,0.013023433042690158,0.013135608984157443,1.008652515280953,0.9473765611781735,63.75,24233.0,0.002684884047089852,0.017040664330124855,4,34.4,,,,,,
cnn,0.2,0.001,0.0003,128,,0.019469139631837606,0.019473936408758163,1.000293460381018,1.0966339696135696,400.0,130137.0,0.006800258425139578,0.027647826820611954,4,195.8,64,64.0,False,3.0,,
rnn,0.1,1e-05,0.0001,16,,0.013231362914666533,0.013248073868453503,1.0012818613307721,0.9391429477280362,266.5,3001.0,0.002578520827227868,0.017034465447068214,4,263.3,,32.0,,,8,0.0
dense,0.2,0.1,3e-05,16,16x8,0.8235639184713364,0.8235639184713364,1.0,0.9964092626015689,400.0,48377.0,0.399599335021386,1.3267951011657715,4,201.0,,,,,,
cnn,0.4,0.0001,0.0001,32,,0.01874588616192341,0.018883315613493323,1.0076141595152213,1.3656295845663855,360.75,156441.0,0.003910324143514495,0.02333858236670494,4,239.7,64x128x128,32.0,False,5.0,,
rnn,0.4,1e-05,5e-05,64,,0.013755456544458866,0.01376381330192089,1.0006399130294508,0.9352629406405607,317.0,30905.0,0.0026421007421366513,0.01766527071595192,4,344.4,,16.0,,,64,0.1
