variante,persistencia_lag1,test_mae,test_mse,precision_direccional,mae_std_semillas,n_train
1_sin_volatilidad,,0.0118185548445145,0.0002506711002844,0.4834426229508196,5.463804497658242e-06,7078
2_v1_sin_memoria,0.0752189,0.011823031652687,0.0002508811774534,0.490327868852459,5.408058875532501e-07,7078
3_v2_con_memoria,0.5931995472305651,0.0118225074401616,0.0002508407898266,0.4847540983606557,7.031641089416396e-06,7078
4_ohlc_real_gk,0.7312159960471365,0.0118185246040389,0.0002507424835372,0.4863934426229508,2.9291739296845958e-06,7078
