family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.1,0.0001,5e-05,128,128,0.030803111381828785,0.030803111381828785,1.0,1.4314031096860544,400.0,387353.0,0.00545420036580417,0.0362413227558136,4,183.1,,,,,,
cnn,0.6,0.0,0.0005,32,,0.012938885251060128,0.01295354263857007,1.001198693187228,0.9135678978727565,63.5,15057.0,0.00264630480394672,0.01690005324780941,4,39.3,16x32,100.0,True,7.0,,
rnn,0.4,0.1,0.0005,16,,0.012973382603377104,0.01297610648907721,1.000233914386469,0.9410079108034788,220.25,17985.0,0.002628691166326123,0.01689847745001316,4,647.4,,100.0,,,32x16,0.1
dense,0.4,0.01,0.0001,32,64,0.04068162012845278,0.04068162012845278,1.0,0.9564465826079868,400.0,193689.0,0.03711485723280445,0.09302381426095963,4,195.8,,,,,,
cnn,0.4,0.0001,5e-05,128,,0.02241865871474147,0.02241865871474147,1.0,0.9684534557083984,400.0,17745.0,0.003343932106089021,0.02641376480460167,4,171.6,8,64.0,False,3.0,,
rnn,0.3,0.0001,0.001,32,,0.01294960011728108,0.012955507962033153,1.000456705488133,0.9399092656922088,165.0,14361.0,0.0026416727794046466,0.016903039067983627,4,183.1,,64.0,,,32,0.3
dense,0.4,0.1,3e-05,64,64,2.9866568744182587,2.9866568744182587,1.0,0.9976709724039283,400.0,193689.0,1.3411665798353696,4.830468654632568,4,181.1,,,,,,
cnn,0.5,0.0001,0.0001,16,,0.013111501233652234,0.013111544772982597,1.0000037560250057,0.9427518849488086,400.0,3025.0,0.0026220185204052318,0.016983799636363983,4,232.8,8x16,8.0,True,5.0,,
rnn,0.1,0.01,0.001,32,,0.012947820127010345,0.012952911201864481,1.000415211568806,0.9397939481862372,201.0,16449.0,0.0026413669965050872,0.016901003196835518,4,221.1,,100.0,,,32,0.3
dense,0.3,0.001,3e-05,64,8,0.02456754632294178,0.02456754632294178,1.0,0.9872397258843256,400.0,24233.0,0.004564952102315612,0.029298193752765656,4,173.0,,,,,,
cnn,0.3,0.0,0.0003,64,,0.012969013769179583,0.012982811080291867,1.0010892563884055,0.9315167999974194,83.75,3785.0,0.002642382633239067,0.01692158170044422,4,46.7,16,32.0,True,3.0,,
rnn,0.4,0.001,0.001,16,,0.012970216572284698,0.012979108607396483,1.0006352667272473,0.9397228503435342,175.25,30185.0,0.002628864198131974,0.016896571964025497,4,384.0,,8.0,,,64,0.1
dense,0.2,0.0001,5e-05,16,16x8,0.0158364858943969,0.01591670815832913,1.0055607534461373,1.2799454784763105,365.75,48377.0,0.0024205280104078364,0.019430583342909813,4,192.3,,,,,,
cnn,0.2,0.001,3e-05,16,,0.02772002317942679,0.02772002317942679,1.0,0.9638132068177531,400.0,33801.0,0.017378664993694063,0.05130453407764435,4,229.2,16,64.0,False,3.0,,
rnn,0.1,0.0001,0.0003,128,,0.013794917613267899,0.013803184498101473,1.0006783738408838,0.9489801427940926,400.0,5313.0,0.002535194992854965,0.01735149696469307,4,257.6,,100.0,,,8,0.2
dense,0.4,0.001,3e-05,16,32,0.023423166014254093,0.023423166014254093,1.0,1.1780020839272796,400.0,96857.0,0.006394151879792602,0.0294619370251894,4,216.1,,,,,,
cnn,0.6,0.001,3e-05,64,,0.057690298184752464,0.057690298184752464,1.0,0.9796884866881858,400.0,50553.0,0.017810889990788413,0.07788990437984467,4,196.3,64,16.0,False,7.0,,
rnn,0.2,1e-05,0.0003,128,,0.013486067531630397,0.01355746272020042,1.005361868412076,0.9520473690563017,346.75,32345.0,0.002641977783846649,0.017423612996935844,4,291.2,,32.0,,,64,0.3
dense,0.4,0.001,0.001,64,32x16,0.013584410538896918,0.013666195562109351,1.0057092312759575,0.9783326565398168,275.0,96985.0,0.0025939439457815083,0.016909847036004066,4,118.9,,,,,,
cnn,0.4,0.001,0.0003,32,,0.013071788707748055,0.013072691392153502,1.0000771920473959,0.9418149624502014,379.75,9665.0,0.0025917897094172165,0.016913535073399544,4,166.4,8x16,32.0,False,5.0,,
rnn,0.4,0.01,5e-05,32,,0.24928992055356503,0.24928992055356503,1.0,0.9896004170807591,400.0,4089.0,0.16060467530232794,0.4579591751098633,4,347.5,,64.0,,,8,0.2
dense,0.1,1e-05,0.0005,16,128x64,0.014678762527182698,0.015389409614726901,1.0503623658983803,2.3157329676283824,215.5,394009.0,0.0030375853888836993,0.019200796261429787,4,135.1,,,,,,
cnn,0.3,0.01,0.001,64,,0.01299800188280642,0.013001152547076344,1.0002547674949973,0.9418952949950978,354.75,4713.0,0.002618988996185788,0.016908928751945496,4,150.7,16,16.0,True,5.0,,
rnn,0.1,0.0,5e-05,128,,0.012959728483110666,0.012995258904993534,1.0029643107429527,0.9347899845275258,99.5,38465.0,0.0026342205252065935,0.016905706375837326,4,74.0,,100.0,,,64,0.0
