family,sigma,relative,noise_dist,df,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,shrinkage_alpha,shrinkage_target,marginal,n_iters,grid_size,rotation
noise,0.3142,False,normal,0.0,0.385407743921527,19.47062088625777,1.346777247561255,1.0,25.840580168810313,0.0006155288985888481,0.4,,,,,,,
gaussian,,,,,0.06054465861233127,0.22857431986939394,1.2521287525199862,1.0,0.9877725011555536,0.0006293372589691107,0.3,False,0.92901,diagonal,gaussian,,,
rbig,,,,,0.00010411853388048176,0.02674396314772172,0.19998322422514064,1.0,0.9002531503398428,0.0001472458427081799,20.0,,,,,80.0,400.0,pca
noise,0.0185,True,student_t,4.0,0.0,0.021106579987179054,0.33199822216599234,1.0,1.0297665741958757,0.0,0.3,,,,,,,
gaussian,,,,,0.0047215913495969875,0.019090122677053022,0.6046638600262203,1.0,0.9873076340412041,0.00031166559329189796,0.6,True,0.27169,diagonal,rank_gauss,,,
rbig,,,,,0.0,0.034968872474882486,0.2601395267310832,1.0,0.8634582726178806,0.0,6.6,,,,,25.0,200.0,random
noise,0.20087,False,normal,0.0,0.3852062583810837,12.337195417716742,1.3427857771866618,1.0,16.617590930662338,0.0002997623055783544,0.3,,,,,,,
gaussian,,,,,0.004562961022342882,0.01957303157093746,0.34808810401693546,1.0,0.9884234302762458,0.0013542845744527277,0.6,False,0.05991,diagonal,rank_gauss,,,
rbig,,,,,0.00027387818525931307,0.024817232580869077,0.19269265066233746,1.0,0.9140032186161557,0.0003873222440318516,8.1,,,,,30.0,800.0,pca
noise,0.02711,False,student_t,10.0,0.31175597919945053,1.386408637605261,1.0143046756452507,1.0,2.637695360410366,0.0031257971335403216,0.3,,,,,,,
gaussian,,,,,0.007133164481903043,0.019008451317979354,0.6709364626883614,1.0,0.9875832116172508,0.0005670834308867643,0.6,False,0.33133,identity,rank_gauss,,,
rbig,,,,,0.00026033285791843275,0.02859560439612182,0.19033633998045643,1.0,0.9473024465197659,0.0003681662583995956,4.2,,,,,15.0,800.0,pca
noise,0.45351,False,normal,0.0,0.3852133649700914,28.2411881654524,1.3479958666550012,1.0,37.18543262249685,0.0020165518215609244,0.3,,,,,,,
gaussian,,,,,0.047054382982792575,0.22936630329774738,0.18624484566368207,1.0,0.9894509690810716,0.0010381531208870475,0.3,True,,diagonal,gaussian,,,
rbig,,,,,0.0,0.03145815927453375,0.2625976421115621,1.0,0.8842253217397824,0.0,6.5,,,,,25.0,400.0,random
noise,0.0533,False,student_t,3.0,0.3507330337769703,2.3972436180278507,1.229506212774329,1.0,4.68573691620786,0.0014435012233510102,0.3,,,,,,,
gaussian,,,,,0.10268707688065093,0.3740663022744214,0.5269284990939928,1.0,1.1770123314369434,0.001573493026567598,0.3,False,0.29556,identity,gaussian,,,
rbig,,,,,0.0002401068238558346,0.04367388201498131,0.3100827353761212,1.0,0.8619321912336804,0.00028943782588223936,3.9,,,,,15.0,200.0,random
noise,0.12782,True,normal,0.0,0.0007434063885234377,0.025566965293543218,0.33014612503617874,1.0,1.0375857992574606,0.0006914635980041469,0.3,,,,,,,
gaussian,,,,,0.04952419385278023,0.2286078649961399,0.7530946412365578,1.0,0.9876803263436328,0.005670949057459283,0.3,True,0.53358,diagonal,gaussian,,,
rbig,,,,,6.517853187060219e-05,0.0293867265631976,0.18878551110875197,1.0,0.9335294900986415,9.217636374697263e-05,4.2,,,,,15.0,600.0,pca
noise,0.28709,False,student_t,3.0,0.3832859764579505,14.124560170466747,1.3474020138918705,1.0,23.914031189018985,0.0006991856648037313,0.3,,,,,,,
gaussian,,,,,0.05410234047070872,0.22869143136808517,1.0585991534885903,1.0,0.987915462017198,0.001903442277781574,0.3,True,0.77896,diagonal,gaussian,,,
rbig,,,,,0.00037267017607522934,0.0530122006818267,0.19538982675524957,1.0,0.9298666296650204,3.646490931386932e-05,1.5,,,,,5.0,200.0,pca
noise,0.33476,True,student_t,10.0,0.0038750334269828657,0.07278244650039842,0.34262932906909077,1.0,1.0820350577062081,0.00040344614347028634,0.3,,,,,,,
gaussian,,,,,0.08522701488842249,0.3515897494055883,0.45616700843906655,1.0,1.149517492780807,0.005235030708232895,0.3,True,0.24145,identity,gaussian,,,
rbig,,,,,7.449090532862801e-05,0.021256775822852424,0.16845198734352118,1.0,0.9202082859254296,0.00010534604858919598,21.5,,,,,80.0,1500.0,random
noise,0.23869,True,normal,0.0,0.0008043355772165972,0.044956279600936594,0.3310231736231698,1.0,1.0572347934869954,0.00033114353148443003,0.3,,,,,,,
gaussian,,,,,0.04959257646281379,0.2288103885898441,0.9812719159294372,1.0,0.9877769369610163,0.0038984114391509557,0.3,True,0.70989,diagonal,gaussian,,,
