family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.2,0.0,3e-05,128,32x16,0.013178593013435602,0.013203658629208803,1.0019763018825811,0.9761866892475838,178.0,96985.0,0.0027202508944508437,0.01722588576376438,4,83.0,,,,,,
cnn,0.5,0.0001,3e-05,16,,0.017362298211082816,0.017362298211082816,1.0,0.9559287537514748,400.0,18121.0,0.004044598553661878,0.022068096324801445,4,235.0,16,32.0,False,3.0,,
rnn,0.4,1e-05,0.0005,32,,0.01296086935326457,0.012963552959263325,1.0002060358749933,0.9404644753081685,394.0,5657.0,0.0026404815331863493,0.016910923644900322,4,655.2,,16.0,,,16x8,0.2
dense,0.1,0.0,3e-05,64,64,0.014229745604097843,0.014346178155392408,1.007941858213965,1.0823601717907714,77.25,193689.0,0.003279751479905763,0.018998194485902786,4,41.0,,,,,,
cnn,0.1,0.01,3e-05,64,,1.1655963212251663,1.1655963212251663,1.0,0.9965916221971476,400.0,210177.0,0.5372635887200506,1.8662420511245728,4,278.5,64x128x128,100.0,True,7.0,,
rnn,0.6,0.0,5e-05,32,,0.012914875987917185,0.012970443814992905,1.004592706812069,0.823860807932099,61.25,14457.0,0.0026645430304375636,0.016908632591366768,4,150.7,,16.0,,,32x16,0.1
dense,0.1,0.01,0.0001,64,8,0.05762220546603203,0.05762220546603203,1.0,0.9887702628909887,400.0,24233.0,0.018717125640112978,0.0790013000369072,4,177.4,,,,,,
cnn,0.3,0.0001,5e-05,16,,0.019898560363799334,0.019958331249654293,1.0030932559972845,1.3709369636674298,385.75,65913.0,0.003503580332385066,0.024127880111336708,4,281.3,32,64.0,False,3.0,,
