family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
noise,0.1,True,0.0,0.0349357013820545,0.3631120024491393,1.0,1.0766437825177635,0.0,0.5,,,,,,,,,,
gaussian,,,0.0534418691789527,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0016802204266793,0.6,False,,,,,,,,,
rbig,,,0.0003920057189647,0.0477688427531301,0.530828837472121,1.0,0.9311858158673172,0.0005361232392042,1.7,,15.0,100.0,,,,,,,
gan,,,0.4104108243159183,0.7465726518452221,1.8297051190714104,1.0,0.3768065367820182,,568.7,,,,16.0,1500.0,32.0,64x128x64,16x8,0.0001,3.0
gan,,,0.3139176862333889,0.8314816866195234,2.591227225125251,1.0,1.1472048413061111,,130.2,,,,32.0,500.0,128.0,16x32x16,32x16,2e-05,2.0
gan,,,0.0216768649561998,0.1978168147802552,0.6479459539906502,1.0,0.8829496490973208,,385.8,,,,32.0,1500.0,128.0,32x32,128x64,5e-05,2.0
gan,,,0.0939599510463046,0.4097397331183775,0.9475475890972996,1.0,0.6594071932988068,,74.2,,,,64.0,500.0,32.0,16x32x16,64x64,0.0003,1.0
gan,,,0.5718403789096185,2.630283960787688,1.7491961892569767,1.0,1.1425553656063094,,118.7,,,,64.0,800.0,256.0,32x32,16x8,0.0001,1.0
gan,,,0.0848092898497018,0.4002684634245884,0.9382241466725816,1.0,0.917429324778634,,108.0,,,,16.0,300.0,128.0,128x128,64x32,0.0001,3.0
gan,,,0.1709920790428337,0.5744540721179282,3.3618896645741727,1.0,0.8055582213741458,,130.4,,,,4.0,500.0,128.0,32x64x32,32x16,0.0003,2.0
gan,,,0.2562078823522672,0.6507627645073211,0.908934675254356,1.0,0.5955690163362355,,388.4,,,,16.0,1500.0,64.0,64x128x64,64x64,5e-05,2.0
