family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.5,0.0001,0.0001,16,16,0.014320515794679523,0.014586601871997118,1.0196974041395823,1.1094961767967033,221.25,48441.0,0.0028801244277551915,0.01845751516520977,4,122.3,,,,,,
cnn,0.4,0.01,5e-05,128,,0.5813483521342278,0.5813483521342278,1.0,0.9978010302032133,400.0,8489.0,0.0752270256624502,0.6215112805366516,4,198.2,16x32,32.0,True,5.0,,
rnn,0.6,0.01,0.001,16,,0.013035695068538189,0.013043715618550777,1.0006344650042598,0.9416526009954534,136.0,14361.0,0.0026057898228990127,0.016913767904043198,4,156.5,,64.0,,,32,0.0
dense,0.3,0.01,0.001,64,128,0.013611810747534037,0.013937924755737185,1.0224903570323411,0.9507451190387419,218.75,387353.0,0.0026205732196110205,0.016916444525122643,4,109.3,,,,,,
cnn,0.4,0.001,3e-05,64,,0.09333754517138004,0.09333754517138004,1.0,0.9893056887037176,400.0,21289.0,0.02012604113004934,0.1118183359503746,4,202.2,16x32x64,32.0,False,3.0,,
rnn,0.0,0.0001,0.0001,32,,0.013996835798025131,0.014008917147293687,1.0007894989413604,0.9612436784103742,392.5,3001.0,0.002889058383254514,0.017457423731684685,4,420.1,,32.0,,,8,0.1
dense,0.3,0.0,3e-05,64,128x64,0.013427856611087918,0.01347453542985022,1.0032624422315823,1.0115077125406358,109.5,394009.0,0.0027319989931554227,0.017423037439584732,4,62.8,,,,,,
cnn,0.2,0.0001,0.0003,64,,0.013583869207650423,0.013634318485856056,1.003515257349555,0.935891118778879,400.0,25089.0,0.0026166024661266477,0.016945330426096916,4,204.1,64,100.0,True,5.0,,
rnn,0.0,0.1,0.001,32,,0.013214567443355918,0.013224440393969417,1.000779018712324,0.9493600575916848,161.75,16449.0,0.002556976142339296,0.0169161856174469,4,212.4,,100.0,,,32,0.1
dense,0.5,0.001,0.0001,32,32,0.017750730272382498,0.017791425809264183,1.0026522447178652,1.2872917987463028,400.0,96857.0,0.0035969304933999298,0.022376956418156624,4,229.3,,,,,,
cnn,0.2,0.0,0.001,16,,0.012968670343980193,0.013286885106936097,1.0249356491392472,0.9324288035378955,56.25,15977.0,0.0026310719791792308,0.01690199039876461,4,58.6,16x32x64,64.0,True,3.0,,
rnn,0.3,0.0001,5e-05,32,,0.015220778761431575,0.015220778761431575,1.0,0.9529005657170496,400.0,4649.0,0.003113984857250325,0.019170822575688362,4,463.7,,8.0,,,16,0.2
dense,0.6,1e-05,3e-05,128,8,0.013379612239077687,0.013425705023109913,1.0036546607942065,0.9497301703563494,194.5,24233.0,0.002669611716125093,0.017350036650896072,4,88.9,,,,,,
cnn,0.3,0.0001,0.0001,32,,0.013612150214612484,0.013612150214612484,1.0,0.9505712602534061,400.0,11721.0,0.0026981129378442353,0.017362961545586586,4,209.7,32,8.0,True,7.0,,
rnn,0.1,0.001,3e-05,128,,0.138515193015337,0.138515193015337,1.0,0.9956128729218106,400.0,16473.0,0.012063507572520754,0.14667350053787231,4,434.3,,64.0,,,32x16,0.1
dense,0.6,0.01,0.0005,64,16x8,0.014616238186135888,0.014616238186135888,1.0,0.9606812278164152,400.0,48377.0,0.003551112135299494,0.018386343494057655,4,184.5,,,,,,
cnn,0.0,0.01,5e-05,32,,0.14694677107036114,0.14694677107036114,1.0,0.988779384150411,400.0,3113.0,0.0603763074013149,0.2135368436574936,4,201.7,16,16.0,True,3.0,,
rnn,0.3,0.1,0.0005,64,,0.013872075593098998,0.01387314940802753,1.0000933308188134,0.965925486872802,398.0,17985.0,0.002796237805686371,0.01697809435427189,4,359.7,,100.0,,,32x16,0.0
dense,0.0,0.1,3e-05,32,32,1.208619549870491,1.208619549870491,1.0,0.9976833780557759,400.0,96857.0,0.3411089486758875,1.5794825553894043,4,204.3,,,,,,
cnn,0.4,0.01,0.0005,64,,0.013851257506757975,0.013852046802639961,1.0000646079618751,0.9661938526294072,376.5,16825.0,0.0027709241376152323,0.016925904899835587,4,195.0,32x64,64.0,True,3.0,,
rnn,0.3,0.001,0.0001,128,,0.05270871054381132,0.05270871054381132,1.0,0.9908123585759693,400.0,5385.0,0.010610272144021328,0.06234867870807648,4,402.0,,8.0,,,16x8,0.3
dense,0.0,0.0001,3e-05,32,128x64,0.032286325469613075,0.03233343129977584,1.0015077130861236,1.6374922581395337,400.0,394009.0,0.005517111352119959,0.03712789714336395,4,230.8,,,,,,
cnn,0.6,0.0001,5e-05,64,,0.01975066587328911,0.01986510818824172,1.0048872035419065,0.9424062182085795,316.75,14969.0,0.004271799058305581,0.023448145017027855,4,159.7,32,64.0,True,7.0,,
rnn,0.5,0.0,0.0003,16,,0.012919216649606824,0.013044844614341855,1.0105952442985149,0.909163523989453,47.25,11113.0,0.002663474326907857,0.016908884048461914,4,115.2,,8.0,,,32,0.2
dense,0.5,1e-05,0.0005,64,64x32,0.01370806316845119,0.014566858066245914,1.062960752575241,1.0609847959331145,255.5,194969.0,0.002700001598676511,0.01737692579627037,4,132.6,,,,,,
cnn,0.4,0.01,0.0001,128,,0.3628932908177376,0.3628932908177376,1.0,0.9942915829812787,400.0,32657.0,0.11569958526945313,0.4252605140209198,4,203.6,16x32x64,100.0,True,7.0,,
rnn,0.1,0.001,0.0005,64,,0.013903632992878556,0.01390381483361125,1.000015784997756,0.9660205058451288,400.0,4985.0,0.002823056438878358,0.01701139658689499,4,244.8,,16.0,,,16,0.0
dense,0.2,0.1,5e-05,32,16x8,0.8066593259572983,0.8066593259572983,1.0,0.996820013709029,400.0,48377.0,0.26423054806118124,1.0909316539764404,4,195.7,,,,,,
cnn,0.1,0.0,3e-05,64,,0.013578378595411777,0.013625094201415777,1.0037258606814285,1.0048696770943035,179.25,67065.0,0.0028032412520235073,0.01764536462724209,4,99.4,32,64.0,False,5.0,,
rnn,0.5,0.0,3e-05,128,,0.012988530099391937,0.013042412931099534,1.0044029866362947,0.8447798364683456,73.75,3001.0,0.002661160692141218,0.016971182078123093,4,70.2,,32.0,,,8,0.2
dense,0.0,0.1,0.0005,128,64,0.021666082087904215,0.021666082087904215,1.0,0.9743618873036396,400.0,193689.0,0.008465888912303906,0.03165220841765404,4,184.9,,,,,,
cnn,0.0,0.01,0.0001,64,,0.07877946458756924,0.07877946458756924,1.0,0.9780052789469562,400.0,67065.0,0.038115776742781986,0.11118140071630478,4,205.0,32,64.0,False,5.0,,
rnn,0.5,0.1,0.0001,128,,3.3729269802570343,3.3729269802570343,1.0,0.9958318428912345,400.0,130745.0,1.1165168146486344,3.935757637023926,4,985.0,,16.0,,,64x128,0.2
dense,0.3,0.01,5e-05,64,128,0.14939128048717976,0.14939128048717976,1.0,0.9964177300480058,400.0,387353.0,0.04969718949393736,0.19070228934288025,4,207.9,,,,,,
cnn,0.0,0.0,5e-05,32,,0.014072202844545245,0.014338008826598525,1.0186782970192718,1.0626480446112494,75.5,68217.0,0.0031505475020921743,0.01859784685075283,4,57.2,32,64.0,False,7.0,,
rnn,0.1,0.0001,0.0001,64,,0.015055553987622261,0.015058997552841902,1.0001948408975867,0.9690746852428678,400.0,30185.0,0.003387102104388469,0.01828645169734955,4,338.8,,8.0,,,64,0.0
dense,0.4,0.01,0.001,16,64x32,0.013038048055022955,0.013043852057307959,1.0004922114916093,0.9418195570247274,186.75,194969.0,0.0026066669503023556,0.016916684806346893,4,129.1,,,,,,
cnn,0.5,1e-05,5e-05,32,,0.013387784594669938,0.013466000789776444,1.0062000598399625,0.9321520966335858,317.25,4033.0,0.002653674762936072,0.017328936606645584,4,174.4,8,8.0,False,5.0,,
rnn,0.4,0.0,0.0001,16,,0.012935660080984235,0.013023258186876774,1.0073892433369818,0.9203870050528702,79.5,7001.0,0.002662206176263071,0.016920726746320724,4,166.1,,64.0,,,16,0.2
dense,0.2,0.0,0.0001,128,32,0.013389685191214085,0.013804985443130136,1.0306213744354555,0.9790341066606074,59.0,96857.0,0.002782468799188537,0.01746922917664051,4,43.7,,,,,,
cnn,0.3,0.1,0.0003,128,,0.13779535191133618,0.13779535191133618,1.0,0.971661308810402,400.0,6889.0,0.07741001903102467,0.18268775939941406,4,197.4,8x16,100.0,True,5.0,,
rnn,0.6,1e-05,5e-05,32,,0.013738967245444655,0.013844714034348726,1.0079891692674003,0.9102097065925725,311.5,14457.0,0.002643296438568606,0.01761442795395851,4,716.8,,16.0,,,32x16,0.1
dense,0.4,0.0001,0.0005,16,64,0.014152698684483767,0.014826841885223985,1.0493602830106645,1.2443336725824976,94.5,193689.0,0.003024340652129275,0.018611174076795578,4,77.7,,,,,,
cnn,0.5,0.0001,3e-05,64,,0.020089747849851847,0.020106795709580183,1.000791942905697,0.9572075813644709,328.25,14793.0,0.0032663853412783096,0.024009348824620247,4,181.5,16x32,16.0,False,7.0,,
rnn,0.1,0.01,0.001,64,,0.013857945334166288,0.013863392174243927,1.000368815142871,0.966156878995305,380.0,14121.0,0.002776081265854615,0.016918612644076347,4,546.7,,8.0,,,32x16,0.3
dense,0.5,0.0,0.001,64,16,0.012973885051906109,0.013867598259821534,1.0745294716722205,0.8946035569289758,46.75,48441.0,0.0026347280712928534,0.016909679397940636,4,42.6,,,,,,
cnn,0.1,0.0001,0.0003,64,,0.013814382255077362,0.014318469213321805,1.033546832157825,0.941965142490806,310.5,1505.0,0.002737707682609292,0.017108961939811707,4,162.5,8,8.0,True,3.0,,
rnn,0.5,0.1,0.0003,64,,0.050507495645433664,0.050507495645433664,1.0,0.9450789432874395,400.0,130745.0,0.03639628154375232,0.08251337707042694,4,721.6,,16.0,,,64x128,0.0
dense,0.4,0.0001,0.0001,64,16,0.015817943727597594,0.016032645478844643,1.013252606613857,1.1044304244008956,283.0,48441.0,0.0029248326532121784,0.0192410945892334,4,144.9,,,,,,
cnn,0.0,0.0001,0.0003,128,,0.019068827386945486,0.019479797687381506,1.0180593191434315,1.225486634624517,246.25,25961.0,0.0038559615838271943,0.024843323975801468,4,142.8,16x32x64,32.0,False,5.0,,
rnn,0.4,0.1,0.0005,32,,0.013220299733802676,0.013226436916738749,1.0004719010522272,0.9500185356677788,349.75,12505.0,0.002555862004277509,0.016917269676923752,4,456.6,,32.0,,,32,0.3
dense,0.1,0.01,0.0003,128,64,0.02481165318749845,0.02481165318749845,1.0,0.9694684797178335,400.0,193689.0,0.008146618831098693,0.031042907387018204,4,198.1,,,,,,
