family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.2,0.1,5e-05,32,16x8,0.7222256859143575,0.7222256859143575,0.7262468139330546,399.0,400.0,1.0,0.9944555573577899,48377.0,0.03856345070164353,148.1,,,,,,
cnn,0.1,0.0,3e-05,64,,0.011643857384721438,0.01167221243182818,0.013904973243673643,144.33333333333334,185.33333333333334,1.002431300187734,0.8375342968317013,67065.0,0.00010965424988163095,74.9,32,64.0,False,5.0,,
rnn,0.5,0.0,3e-05,128,,0.01158052155127128,0.011633714040120443,0.01633358560502529,59.0,100.0,1.0045912988153056,0.7093762059957727,3001.0,3.517129988232947e-05,59.4,,32.0,,,8,0.2
dense,0.0,0.1,0.0005,128,64,0.01876000314950943,0.01876000314950943,0.02160174772143364,399.0,400.0,1.0,0.8684343866437808,193689.0,0.0002820936126733448,132.4,,,,,,
cnn,0.0,0.01,0.0001,64,,0.059178670247395836,0.059178670247395836,0.06210743263363838,399.0,400.0,1.0,0.9528259560344267,67065.0,0.0015442246079542007,148.3,32,64.0,False,5.0,,
rnn,0.5,0.1,0.0001,128,,3.909679889678955,3.909679889678955,3.9254703521728516,399.0,400.0,1.0,0.9959773807448776,130745.0,0.0326216744156412,777.6,,16.0,,,64x128,0.2
dense,0.3,0.01,5e-05,64,128,0.12653721372286478,0.12653721372286478,0.12866140405337015,399.0,400.0,1.0,0.9834900361442226,387353.0,0.0014914162127045696,155.1,,,,,,
cnn,0.0,0.0,5e-05,32,,0.011997770828505358,0.012177801380554834,0.013641602049271265,36.666666666666664,77.66666666666667,1.0150104501606831,0.8795391068593639,68217.0,5.983570002613206e-05,41.3,32,64.0,False,7.0,,
rnn,0.1,0.0001,0.0001,64,,0.01229134015738964,0.01229134015738964,0.01501909364014864,399.0,400.0,1.0,0.8183788410031934,30185.0,6.301141006874628e-05,268.4,,8.0,,,64,0.0
dense,0.4,0.01,0.001,16,64x32,0.011519460938870907,0.011523951776325703,0.014275631246467432,93.0,134.0,1.0003898831561058,0.8069318175879933,194969.0,3.0069057139920334e-06,75.0,,,,,,
cnn,0.5,1e-05,5e-05,32,,0.01184654546280702,0.01184654546280702,0.014571865710119406,399.0,400.0,1.0,0.8129736881779972,4033.0,1.6370011619184707e-05,156.5,8,8.0,False,5.0,,
