family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.4,1e-05,5e-05,32,16,0.012103774895270666,0.012128584397335848,0.01465170985708634,37.666666666666664,78.66666666666667,1.0020480354358707,0.826111941877527,48441.0,1.8698686837503294e-05,31.5,,,,,,
cnn,0.5,0.001,5e-05,128,,0.07629519204298656,0.07629519204298656,0.07917006313800812,399.0,400.0,1.0,0.9636832834558419,197889.0,0.001231437011317925,141.7,64,100.0,False,5.0,,
rnn,0.4,1e-05,0.0005,16,,0.011516156295935312,0.011518757790327072,0.014258037321269512,235.33333333333334,276.3333333333333,1.000225881400535,0.8076957583997745,7289.0,2.6155844796902147e-06,630.2,,64.0,,,16x8,0.3
dense,0.4,1e-05,3e-05,128,32x16,0.012543982515732447,0.01254787358144919,0.014909059430162111,287.0,314.6666666666667,1.0003097919690251,0.8415266592432838,96985.0,5.289437987477758e-05,86.3,,,,,,
cnn,0.4,0.0,0.001,32,,0.01151416264474392,0.011516774383684,0.014252667936185995,39.0,80.0,1.0002268259160738,0.8078601532887202,16809.0,3.626857455255819e-06,33.9,64,8.0,True,5.0,,
rnn,0.4,1e-05,0.0005,16,,0.011530655746658644,0.011546066341300806,0.014254446451862654,166.66666666666666,207.66666666666666,1.001334220308239,0.8089181645892117,16473.0,2.4434267356614536e-05,264.8,,64.0,,,32x16,0.0
dense,0.5,0.0,0.0003,16,32x16,0.01141884115835031,0.01147229534884294,0.01380309866120418,56.333333333333336,97.33333333333333,1.0046800003177936,0.8277183254530055,96985.0,8.578493075918219e-05,42.1,,,,,,
cnn,0.2,0.0001,0.0003,32,,0.01151567076643308,0.0115163279697299,0.01424486500521501,341.3333333333333,374.0,1.000057063411201,0.808408555712639,9913.0,2.8856830218577664e-06,133.1,32,32.0,True,5.0,,
rnn,0.1,0.0,0.001,16,,0.011509972934921583,0.011521767204006514,0.014182550211747488,27.333333333333332,68.33333333333333,1.0010247850823781,0.8116637747046465,2185.0,1.0656347439766411e-05,90.7,,8.0,,,8,0.2
dense,0.5,0.1,0.0001,64,32,0.5889043211936951,0.5889043211936951,0.5932752092679342,399.0,400.0,1.0,0.9926210033798425,96857.0,0.03532498218603359,123.0,,,,,,
cnn,0.6,0.001,5e-05,64,,0.057905287792285286,0.057905287792285286,0.060741553703943886,399.0,400.0,1.0,0.9532967956726534,22697.0,0.001040039812495559,144.9,16x32x64,64.0,True,5.0,,
rnn,0.3,1e-05,3e-05,64,,0.01231488554428021,0.01231488554428021,0.015048890685041746,399.0,400.0,1.0,0.8183253128304564,30905.0,6.441667975160519e-06,255.1,,16.0,,,64,0.1
dense,0.4,0.0001,0.0001,64,128x64,0.016776020328203838,0.016900164385636646,0.011941271834075451,393.6666666666667,400.0,1.007452146754986,1.4050668811114795,394009.0,0.00022254549828295607,126.2,,,,,,
cnn,0.2,0.01,3e-05,32,,0.1225559413433075,0.1225559413433075,0.1255361263950666,399.0,400.0,1.0,0.9762496303359693,22809.0,0.0033665319075985053,154.6,32,16.0,False,5.0,,
rnn,0.1,0.1,0.0003,16,,0.01151465717703104,0.0115164282421271,0.014250821433961391,311.6666666666667,352.6666666666667,1.0001538095312195,0.807999537785511,2185.0,3.01143856557313e-06,492.1,,8.0,,,8,0.2
dense,0.2,1e-05,0.0001,16,128,0.014769579283893108,0.015228785263995329,0.016839470714330673,3.6666666666666665,44.666666666666664,1.0310839716629812,0.8771418250653604,387353.0,8.783218407083209e-05,29.6,,,,,,
cnn,0.4,0.0,0.0005,32,,0.011503036444385847,0.011922572428981463,0.01421373151242733,10.0,51.0,1.03646941863798,0.8093611952041463,100257.0,6.432719003282351e-06,26.4,32,100.0,False,5.0,,
rnn,0.1,0.01,0.0005,128,,0.014912776338557402,0.014912776338557402,0.0176821518689394,399.0,400.0,1.0,0.8433777384721574,32345.0,8.855773351334713e-05,271.7,,32.0,,,64,0.1
dense,0.3,1e-05,0.001,32,128x64,0.012510112176338831,0.01303557058175405,0.010155295642713705,91.0,132.0,1.0423874624937772,1.2343833378362659,394009.0,0.00033312777115399896,59.5,,,,,,
