horizonte,generator,synth_years,n_train,mse,mae,directional_accuracy
1,constante,,1045,0.00024967691586801614,0.011769771219364372,0.5291803278688525
7,constante,,1045,3.5154407048210604e-05,0.004716254160319436,0.5165811965811966
30,constante,,1045,7.379681437598526e-06,0.0022348478437751586,0.4991489361702128
