family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.4,1e-05,5e-05,32,16,0.013632701244205236,0.013763563008978963,1.0100320982250277,0.9624336148570722,97.0,48441.0,0.002610235832924392,0.01750796101987362,4,52.2,,,,,,
cnn,0.5,0.001,5e-05,128,,0.08122398797422647,0.08122398797422647,1.0,0.9885155145645554,400.0,197889.0,0.03203322958068894,0.12279196828603745,4,216.0,64,100.0,False,5.0,,
rnn,0.4,1e-05,0.0005,16,,0.013055874267593026,0.013061014236882329,1.0004239960826231,0.9425836693453173,254.0,7289.0,0.002602727097983137,0.01692011207342148,4,865.6,,64.0,,,16x8,0.3
dense,0.4,1e-05,3e-05,128,32x16,0.014137049205601215,0.014174576615914702,1.002796422312347,0.9630065529041385,315.5,96985.0,0.002660433264809245,0.018067188560962677,4,150.4,,,,,,
cnn,0.4,0.0,0.001,32,,0.012986078392714262,0.013221745612099767,1.0195801132536868,0.918867020726821,57.5,16809.0,0.0026313033799450886,0.016915680840611458,4,39.8,64,8.0,True,5.0,,
rnn,0.4,1e-05,0.0005,16,,0.013051116140559316,0.013177955988794565,1.010426931627887,0.948128708037608,261.25,16473.0,0.002598302567031657,0.016918323934078217,4,477.1,,64.0,,,32x16,0.0
dense,0.5,0.0,0.0003,16,32x16,0.012957574101164937,0.01305715343914926,1.0083946250789502,0.8885270419991965,50.5,96985.0,0.0026509399276019472,0.01692359521985054,4,45.0,,,,,,
cnn,0.2,0.0001,0.0003,32,,0.013136833207681775,0.013137968024238944,1.0000861590086598,0.9350004963846652,395.5,9913.0,0.002574387699446744,0.016919275745749474,4,232.9,32,32.0,True,5.0,,
rnn,0.1,0.0,0.001,16,,0.012946384958922863,0.013092987006530166,1.0115185604934138,0.9419161390265717,91.5,2185.0,0.0024939232278152674,0.01665561832487583,4,181.9,,8.0,,,8,0.2
dense,0.5,0.1,0.0001,64,32,0.6619165167212486,0.6619165167212486,1.0,0.9952885906962129,400.0,96857.0,0.25398110761229453,0.8697828650474548,4,181.1,,,,,,
cnn,0.6,0.001,5e-05,64,,0.06707095913589001,0.06707095913589001,1.0,0.9832713521690817,400.0,22697.0,0.020569049846144636,0.08564451336860657,4,205.0,16x32x64,64.0,True,5.0,,
rnn,0.3,1e-05,3e-05,64,,0.013896607095375657,0.01392471557483077,1.0021222594418702,0.9363356850627471,313.5,30905.0,0.0026524833437634302,0.01781413145363331,4,382.7,,16.0,,,64,0.1
dense,0.4,0.0001,0.0001,64,128x64,0.020517089404165745,0.020599728915840387,1.0047727526738695,1.4441412751701286,400.0,394009.0,0.0047902763015726674,0.025184517726302147,4,202.4,,,,,,
cnn,0.2,0.01,3e-05,32,,0.16071937419474125,0.16071937419474125,1.0,0.9898858141822828,400.0,22809.0,0.06639888301371773,0.23780463635921478,4,213.6,32,16.0,False,5.0,,
rnn,0.1,0.1,0.0003,16,,0.013074526563286781,0.013075510505586863,1.0000632782290402,0.9437105244030115,382.75,2185.0,0.0025970018118853144,0.016922077164053917,4,649.0,,8.0,,,8,0.2
dense,0.2,1e-05,0.0001,16,128,0.01670559123158455,0.017461126903072,1.0431522752163584,1.0581706062395113,47.5,387353.0,0.0030467602944986697,0.02109425887465477,4,45.2,,,,,,
cnn,0.4,0.0,0.0005,32,,0.013145591598004103,0.01387118292041123,1.0552024606490509,0.9526659420198872,56.5,100257.0,0.002593873458398239,0.016940953209996223,4,43.1,32,100.0,False,5.0,,
rnn,0.1,0.01,0.0005,128,,0.01857161382213235,0.01857161382213235,1.0,0.9810916996306988,400.0,32345.0,0.00696177213957741,0.027554364874958992,4,399.8,,32.0,,,64,0.1
dense,0.3,1e-05,0.001,32,128x64,0.014631121885031462,0.015055240597575903,1.0290720634482524,1.5752945173905304,155.25,394009.0,0.0030830962410201383,0.019056614488363266,4,99.4,,,,,,
cnn,0.1,0.01,0.0005,128,,0.01807437650859356,0.01807437650859356,1.0,0.98203915094945,400.0,9665.0,0.006725700291713632,0.02683968096971512,4,191.9,8x16,32.0,False,5.0,,
rnn,0.3,0.01,0.0005,64,,0.013981114840134978,0.013981391210108995,1.0000241765019067,0.9649864253567616,400.0,15129.0,0.0029148802628129666,0.017191199585795403,4,363.1,,32.0,,,32x16,0.0
dense,0.0,0.1,0.0001,16,32,0.01985241356305778,0.01985257607884705,1.000014053019112,0.9591468023900823,400.0,96857.0,0.01268526389002851,0.038302287459373474,4,235.0,,,,,,
cnn,0.5,0.0001,0.0001,128,,0.017471473896875978,0.017784141236916184,1.0149013597839232,0.9427097030173394,313.5,8241.0,0.003774995721352322,0.020982470363378525,4,149.7,16,100.0,True,5.0,,
rnn,0.1,0.0001,0.001,32,,0.013217144180089235,0.01322904578410089,1.0008918822277195,0.9494276427047137,163.75,7289.0,0.0025557673325444104,0.016915714368224144,4,327.8,,64.0,,,16x8,0.2
dense,0.0,0.001,0.001,16,128x64,0.014539491152390838,0.015407650964334607,1.0494098137887216,1.040339727209629,84.25,394009.0,0.003806299611431692,0.019424907863140106,4,72.4,,,,,,
cnn,0.1,0.001,5e-05,128,,0.048966520465910435,0.048966520465910435,1.0,0.9907157946820435,400.0,6233.0,0.008225868572761186,0.05676954984664917,4,183.6,8,100.0,True,7.0,,
rnn,0.3,1e-05,0.0001,64,,0.013681851793080568,0.01393488235771656,1.018855202755395,0.9369843824814567,311.25,14361.0,0.0026338428975807016,0.017485836520791054,4,219.8,,64.0,,,32,0.0
dense,0.1,0.0,0.0005,16,64x32,0.013039552373811603,0.014890444232150912,1.1464272838492338,0.9437986791337742,43.5,194969.0,0.002741565066633447,0.017126303166151047,4,40.7,,,,,,
cnn,0.6,0.1,3e-05,64,,3.7648215889930725,3.7648215889930725,1.0,0.997716056460414,400.0,74265.0,1.0545394790196367,4.6292595863342285,4,218.0,64,32.0,False,5.0,,
rnn,0.1,0.01,3e-05,16,,0.13910721149295568,0.13910721149295568,1.0,0.9839959319739685,400.0,2457.0,0.08358093710828385,0.2418808788061142,4,709.0,,16.0,,,8,0.1
dense,0.2,1e-05,0.001,16,16x8,0.013186797965317965,0.014570176834240556,1.1102779495243287,0.9328789150749567,56.75,48377.0,0.0028292512164046295,0.017372585833072662,4,47.2,,,,,,
cnn,0.5,0.0001,0.0005,32,,0.013230571057647467,0.013395552057772875,1.0127130239388182,0.9452186955605932,328.0,25033.0,0.002555310398430965,0.016919152811169624,4,187.5,8x16,100.0,False,3.0,,
rnn,0.3,0.0,0.0003,16,,0.012930810218676925,0.013042632956057787,1.0094477880484423,0.9269194630755435,47.25,4649.0,0.002661408934919996,0.016916390508413315,4,108.5,,8.0,,,16,0.1
dense,0.2,0.0,0.0003,32,8,0.012933637481182814,0.01326778787188232,1.0278687410114293,0.9389020986516475,51.75,24233.0,0.0026535792543123313,0.01690554991364479,4,40.2,,,,,,
cnn,0.6,0.1,3e-05,16,,0.4570616763085127,0.4570616763085127,1.0,0.9768853952816818,400.0,6233.0,0.481929597039073,1.1072266101837158,4,244.6,8,100.0,True,7.0,,
rnn,0.0,0.01,5e-05,32,,0.17503047548234463,0.17503047548234463,1.0,0.9783380271263958,400.0,138137.0,0.1388090561251302,0.34721750020980835,4,872.7,,64.0,,,64x128,0.0
dense,0.4,1e-05,5e-05,32,64x32,0.0146833888720721,0.014795300317928195,1.0075020920028515,1.079051313177985,187.0,194969.0,0.0029512851195191677,0.01898065395653248,4,115.6,,,,,,
cnn,0.2,0.001,0.0001,32,,0.014482193859294057,0.014482193859294057,1.0,0.962198041150814,400.0,27033.0,0.003394139004953378,0.017656637355685234,4,213.3,8,100.0,False,5.0,,
rnn,0.6,0.0,0.001,32,,0.01301613636314869,0.013187800301238894,1.0140929620886516,0.9001234789987635,45.75,38465.0,0.002619243248465884,0.016918284818530083,4,100.7,,100.0,,,64,0.1
dense,0.4,0.01,0.0005,128,128x64,0.01665558759123087,0.01665558759123087,1.0,0.9856311531890377,400.0,394009.0,0.0062620270907173484,0.02509022131562233,4,204.0,,,,,,
cnn,0.4,0.0,0.0005,16,,0.012925556860864162,0.013210197445005178,1.0193462472514723,0.9335119216503553,81.75,17929.0,0.0026178695990521574,0.016843996942043304,4,76.3,32x64,8.0,False,3.0,,
rnn,0.5,0.0001,5e-05,16,,0.013329875422641635,0.013329875422641635,1.0,0.9450070443538593,400.0,133209.0,0.002650454578624968,0.01714351959526539,4,3038.9,,32.0,,,64x128,0.3
dense,0.6,0.0,3e-05,32,128x64,0.01308491313830018,0.013166982680559158,1.0064479089393097,0.954108110386184,122.5,394009.0,0.002645174193176547,0.017010843381285667,4,88.5,,,,,,
cnn,0.6,0.0,0.0001,16,,0.013016365002840757,0.013070687185972929,1.0044095555867973,0.9180455785425096,82.0,197889.0,0.0026222575127794146,0.016919653862714767,4,85.5,64,100.0,False,5.0,,
rnn,0.5,0.01,0.001,64,,0.013846564572304487,0.013851238181814551,1.0003161283515445,0.9660341217935962,273.0,5313.0,0.0027663992924625157,0.016916127875447273,4,234.4,,100.0,,,8,0.3
dense,0.6,0.01,0.0003,128,16x8,0.04841291531920433,0.04841291531920433,1.0,0.985367215503182,400.0,48377.0,0.015941605056614364,0.062449704855680466,4,185.9,,,,,,
