family,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds
gan,32,800,128,128x128,32x16,0.0001,4,0.2810865589807977,0.5699414220744338,0.7227570704237748,1.0,0.4957352110204529,,372.1
gan,8,2000,64,16x32x16,32x16,0.0005,4,0.02195756033656182,0.19521458744629416,0.6791110641469209,1.0,0.7468947595601965,,973.5
gan,32,1500,64,64x128x64,64x32,0.001,3,0.09067523083661733,0.39201115092750627,1.5948983164783,1.0,0.7410691098026753,,501.8
gan,48,1200,64,32x32,64x32,0.0005,4,0.011158372152694884,0.1428510429942546,0.3304816896539791,1.0,0.7842744532915437,,481.4
gan,16,2000,64,32x64x32,32x16,0.0001,3,0.2347331493645315,0.5951977272727602,0.757578135732702,1.0,0.7461476218815895,,642.1
gan,8,1500,128,128x128,128x64,0.0003,2,0.19509868631907723,0.6221964921327646,1.9814516407436698,1.0,0.9081935458928829,,368.4
gan,32,1500,256,128x128,64x32,0.0003,5,0.03039056566468945,0.20293665728560756,0.7250864464439446,1.0,0.7635380878762159,,770.8
