ticker,n_bars,first,last
WSFS,114826,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SFBS,114833,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FBK,114886,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
OSBC,114893,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CBU,114791,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NBTB,114785,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
HBNC,114897,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
STEL,75252,2022-10-03 13:30:00+00:00,2026-07-30 19:55:00+00:00
CNOB,114756,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
INDB,114848,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
LOB,114862,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BY,114779,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NBBK,52457,2023-12-28 14:30:00+00:00,2026-08-28 20:00:00+00:00
TCBI,114863,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TBBK,114900,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
DCOM,114726,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NFBK,114179,2020-11-02 14:30:00+00:00,2026-08-19 19:55:00+00:00
FBNC,114756,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BOH,114903,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
AMTB,114778,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
STBA,114676,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NBHC,114874,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FMNB,114686,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
GABC,114562,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
EFSC,114672,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
PEBO,114805,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NPB,30125,2025-02-13 21:00:00+00:00,2026-08-28 20:00:00+00:00
CUBI,114846,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BANR,114746,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
HFWA,114660,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FFIC,111448,2020-11-02 14:30:00+00:00,2026-06-30 19:55:00+00:00
SHBI,114711,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BANF,114575,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TCBK,114499,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BCAL,111650,2020-12-16 15:45:00+00:00,2026-08-28 20:00:00+00:00
SICP,392,2026-06-18 20:00:00+00:00,2026-08-28 19:55:00+00:00
HBT,114338,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
OBK,64365,2023-05-22 13:30:00+00:00,2026-08-28 20:00:00+00:00
EGBN,114859,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SBSI,114730,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
HAFC,114679,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
AMAL,114723,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BFST,114641,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CCNE,114659,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SYBT,114592,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
MCBS,114400,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
UVSP,114570,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FSUN,79358,2022-08-03 18:45:00+00:00,2026-08-28 20:00:00+00:00
BWB,114695,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CPF,114681,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
LKFN,114565,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
PBFS,114208,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WABC,114621,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FRBA,114357,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FRST,114536,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SRCE,114535,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FMBH,114478,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
PDLB,114402,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TFIN,73624,2022-12-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
MPB,114617,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CASH,114761,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NRIM,114667,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CARE,114616,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
MSBI,114740,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FSBC,104756,2021-05-05 13:40:00+00:00,2026-08-28 20:00:00+00:00
CBAN,114533,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
RVSB,114382,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CIVB,114702,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
IBCP,114661,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WNEB,114381,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FISI,114638,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FBLA,35887,2024-10-23 14:45:00+00:00,2026-08-28 20:00:00+00:00
RBCAA,114255,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
