family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.5,0.0001,0.0001,16,16,0.014076829887926579,0.0142367088701576,1.0120689704059096,1.110399037384063,263.75,48441.0,0.0028357591256054264,0.018295971676707268,4,137.0,,,,,,
cnn,0.4,0.01,5e-05,128,,0.6285199001431465,0.6285199001431465,1.0,0.9973771389003576,400.0,8489.0,0.14000088938501293,0.8101518154144287,4,195.8,16x32,32.0,True,5.0,,
rnn,0.6,0.01,0.001,16,,0.012970967451110482,0.012978273909538984,1.0005473193629344,0.939824133576992,150.25,14361.0,0.0026286991533118324,0.016896981745958328,4,155.4,,64.0,,,32,0.0
dense,0.3,0.01,0.001,64,128,0.01297543803229928,0.01298262714408338,1.0005770228650728,0.9415541417594392,237.25,387353.0,0.002630422855927256,0.016909068450331688,4,116.1,,,,,,
cnn,0.4,0.001,3e-05,64,,0.09694562666118145,0.09694562666118145,1.0,0.988379089266007,400.0,21289.0,0.024902019810702912,0.1256175935268402,4,200.7,16x32x64,32.0,False,3.0,,
rnn,0.0,0.0001,0.0001,32,,0.013861653627827764,0.013861653627827764,1.0,0.9440351048206765,400.0,3001.0,0.0028964781729512853,0.017817145213484764,4,382.5,,32.0,,,8,0.1
dense,0.3,0.0,3e-05,64,128x64,0.013442357536405325,0.013531853212043643,1.0070460739361298,1.0367154664624878,117.5,394009.0,0.002842365397650172,0.017634153366088867,4,66.8,,,,,,
cnn,0.2,0.0001,0.0003,64,,0.013109347550198436,0.013118423521518707,1.0005346092442224,0.9454497109953326,396.75,25089.0,0.002701726901325253,0.01712866686284542,4,200.1,64,100.0,True,5.0,,
rnn,0.0,0.1,0.001,32,,0.012948569841682911,0.012955149868503213,1.0005396056279394,0.939873567126914,226.25,16449.0,0.0026415556369240056,0.01690209098160267,4,253.0,,100.0,,,32,0.1
dense,0.5,0.001,0.0001,32,32,0.019154764246195555,0.01917849760502577,1.0012440000848288,1.2817700806055325,400.0,96857.0,0.004434232028400709,0.023697901517152786,4,223.9,,,,,,
cnn,0.2,0.0,0.001,16,,0.012928378535434604,0.013553476426750422,1.0523999767675762,0.9407365619202689,58.75,15977.0,0.0026535779444614312,0.016901344060897827,4,56.3,16x32x64,64.0,True,3.0,,
