ticker,n,pearson_parkinson,spearman_parkinson,pearson_gk,spearman_gk,ratio_nivel_parkinson
BAC,1399,0.77671342759959,0.7197986344798661,0.8200625126838088,0.757478259192758,1.047223136736587
WFC,1399,0.7529789709038323,0.713439122701376,0.7928395619567429,0.7359303198527107,1.0280248933421012
JPM,1399,0.7729945821073511,0.7227863512914761,0.8140506505349393,0.7676576025005161,1.0290673611830012
C,1399,,,,,1.0322068941414508
HBAN,1399,0.7917042726417614,0.7324876582515463,0.8387698044168268,0.7673640802377455,1.014435636581133
USB,1399,0.7912814760829481,0.7347020083263269,0.8377378447153656,0.7625711103972401,1.0429347849714663
TFC,1399,0.8003633789196027,0.7286471417571192,0.8386058301465299,0.7591039452284609,1.0388760613444443
KEY,1399,0.8332433449458712,0.7452996624942084,0.881785418165204,0.7749298198020923,1.0229206098790031
RF,1399,0.8373181155060367,0.7242568100638445,0.8673842298623489,0.7537739753673575,1.0314857484010747
FITB,1399,,,,,1.0357741092956767
VLY,1399,,,,,1.0342751176845442
FHN,1399,,,,,0.9969334124222625
PNC,1399,0.7363608153524374,0.7102304571584592,0.7844817006662161,0.7427829197434096,1.0225921185563254
WAFD,1399,0.6971353510355374,0.6552674736598444,0.7140097830937299,0.6816738635681352,1.0046871166709233
FNB,1399,0.7450105210841526,0.6802773019143418,0.8040788659814408,0.7157761806738543,1.0106142742909225
FULT,1399,0.7358062822280216,0.6576794882188293,0.7748151198115962,0.6883065726635782,1.0468739863237009
ASB,1399,0.7591859584096988,0.6688994912914049,0.8182917311707923,0.7080243968605061,1.0189555472818348
WBS,1399,,,,,1.017959008758104
MTB,1399,0.8003396518898565,0.7320623077971521,0.8328382383914298,0.7520971886286474,0.9859826458125339
ZION,1399,0.9030417109730577,0.7530037004830586,0.9290269282871829,0.7773517959092267,1.0421403444587154
BOH,1399,0.8852297789915815,0.702541357166304,0.8940816298008075,0.7227568040410752,0.9499624356838179
UBSI,1399,0.7113374977204131,0.6739940005933729,0.7369653836452232,0.7031989522164601,1.0117658894344645
CVBF,1399,0.7287274302715663,0.6973899902625004,0.7318586105757177,0.7033965883487768,1.0409132503198075
CBSH,1399,0.7094337734039081,0.6392762048209921,0.7385268595331097,0.6631337484206333,0.9706231218430486
GBCI,1399,0.7392524589037639,0.6847851324335861,0.7850188373865336,0.7193137385949236,0.9837454241060076
