family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size
dense,0.4,1e-05,5e-05,32,16,0.011676698923110962,0.011905413586646318,0.014400571584701538,68.0,109.0,1.0196157574985303,0.8112567654682976,48441.0,0.00010896935973590055,128.3,,,,
cnn,0.5,0.001,5e-05,128,,0.011528507806360722,0.01152869826182723,0.015044713392853737,162.5,203.5,1.000016520171616,0.7662829809094214,197889.0,9.166939551119452e-07,363.4,64,100.0,False,5.0
